scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2020,46,0.20587743091831756,0.05751871112353654,0.9569482664261671,2.0274755929152164
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2021,52,0.37998926823723966,0.06484322298745808,0.9422542581846514,3.1217751737350703
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2022,50,0.15281619678639258,0.06477001009697776,0.9638865116623002,1.8492018689456649
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2023,50,-0.007058902268013645,0.06583015098092601,0.9664106190911369,1.7031746045349674
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2024,52,0.023898046223832514,0.06451254183015076,0.9138658624943563,4.740055098037544
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.05,2025,51,0.5424423228738036,0.0599246918743165,0.8920915501872965,5.7830176637838875
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2020,46,0.20329707653563434,0.05868864267640006,0.9738603457769489,1.2271059434176872
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2021,52,0.37692447891954384,0.06781245570352219,0.9775367728253828,1.1850506038392872
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2022,50,0.14832773866662619,0.0664699982914195,0.9841551162698914,0.8057449627853652
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2023,50,-0.0033443451645936983,0.0678913847405428,0.991859463558857,0.4078264818570956
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2024,52,0.02421806825037498,0.0662640636084559,0.9343406877421405,3.5468537062397427
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.1,2025,51,0.5424813720626669,0.060031453484206174,0.8938665120089488,5.677233203014687
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2020,46,0.2073986867071651,0.05881985120132372,0.9751842707918255,1.1653031292074285
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2021,52,0.3747541289296834,0.06834549530917063,0.9837489288868705,0.8534522778057737
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2022,50,0.147531238374095,0.06662237809866746,0.9856047911836379,0.7309479537924592
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2023,50,-0.002908659272927827,0.06802578310332831,0.9931015297824801,0.34508408226884557
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2024,52,0.024276719786064715,0.06667458617556124,0.9388390761875285,3.287947647700596
p_l10_s10_b2_e1_n100_tc50_buf4,100000000,0.2,2025,51,0.5425424839202189,0.06004104703921138,0.894079894869562,5.664969924192713
p_l10_s10_b2_e1_n100_tc50_buf4,300000000,0.05,2020,46,0.202159264882402,0.056772552879027494,0.8315032013120202,8.417864059945314
