scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2020,46,0.35831488110120735,0.04463483753635437,0.9248612570376027,4.1834328613871605
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2021,52,0.8543324372893075,0.05347291318037234,0.892974344939479,7.296346577466749
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2022,50,0.338091810569666,0.054527030764093855,0.9341918831689966,4.3290170542283555
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2023,50,0.11607088687856315,0.06131445216715707,0.9453395594808692,3.918984070117417
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2024,52,0.09850213670691854,0.060559797339624105,0.9174856022395216,5.955441897704765
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2025,51,0.3521610112811395,0.0570052612136872,0.9697734947614872,2.3507938681100145
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2020,46,0.3531979332229418,0.04679148963502506,0.9482523805467453,2.811232067187583
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2021,52,0.8976042209768873,0.05922946105926935,0.9406067822956211,4.000498466329108
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2022,50,0.32593247072476195,0.057885599487897406,0.9608364150646852,2.498367254728329
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2023,50,0.13730257374536792,0.06688618297688417,0.987609251972598,0.8716709432959062
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2024,52,0.07831294216807905,0.06569793097089291,0.95722351765543,3.010630752182811
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2025,51,0.3509041480556583,0.05794138392764923,0.9782535654561991,1.7628719805610695
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2020,46,0.35142582865383565,0.04716191812615447,0.9511984331914597,2.650104519433868
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2021,52,0.9084396242278072,0.06042156461750415,0.9485235096129231,3.469086434349773
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2022,50,0.32409084993172743,0.05849158738630103,0.9648497986307742,2.223066449801197
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2023,50,0.13971999942578983,0.06735632850331791,0.990417718991379,0.6757755360356645
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2024,52,0.07886194309906402,0.06657975611224128,0.9635592190441854,2.54673567090422
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2025,51,0.3510877977571061,0.05802970734491609,0.9790243038300163,1.7108082430018057
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2020,46,0.34796787223140124,0.04207664690897115,0.7579662413773258,14.16855991159449
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2021,52,0.6575101901654985,0.04548014699770059,0.7051021343238428,19.933487025383386
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2022,50,0.2676666188531496,0.04876182006867319,0.7538076751089655,16.30109578283421
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2023,50,0.04791767675261349,0.04990962749825218,0.7174661442674808,19.748507455338526
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2024,52,0.10907387372398003,0.049989028050060134,0.7024677824677812,20.9681654131281
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2025,51,0.30197924931098785,0.05589612855451578,0.8335249141091202,11.86201170580369
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2020,46,0.33328335760766015,0.053669829006126206,0.8835460592685392,6.629648129978625
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2021,52,0.7926035631211736,0.062149989317718056,0.8420454606193792,10.847414018451103
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2022,50,0.31484115356990694,0.06495871125127738,0.8919176693231776,7.253543254241156
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2023,50,0.08077414149052453,0.07078488743296504,0.8806472457745275,8.580878230694145
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2024,52,0.10080685961669444,0.07074302454747057,0.8607872828133036,10.107748414564126
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2025,51,0.3306481896949771,0.06961739784826598,0.9437325745132236,4.159037976540325
p_l10_s10_b2_x500_y50_baseline,300000000,0.2,2020,46,0.3363717252721745,0.0601361228880544,0.9398806343372241,3.3006915704931186
p_l10_s10_b2_x500_y50_baseline,300000000,0.2,2021,52,0.8434621849786816,0.07485863991607966,0.9192143042651332,5.464413218210642
