scenario,date,signal_date,next_date,capital,participation_limit,fixed_cost_bps,impact_coef_bps,gross_return,net_return,cash_weight,actual_stock_count,target_stock_count,actual_target_overlap_count,actual_target_overlap_weight,desired_trade_weight,executed_trade_weight,unfilled_trade_weight,fill_ratio,blocked_trade_weight,capped_trade_weight,missing_adv_weight,period_impact_cost,period_cost,avg_participation,max_participation,period_fixed_cost
p_l10_s3_b2_x500_y50_baseline,2020-02-17,2020-02-14,2020-02-24,100000000,0.05,10,25,0.08349223257288618,0.08312313253437065,0.04962493649999941,48,50,48,0.9503750635,1.0,0.9503750635000006,0.04962493649999944,0.9503750635000006,0.04,0.009624936499999999,0.0,0.0003406577614673638,0.0003406577614673638,0.02228418171450597,0.05000000000000001,0.0
p_l10_s3_b2_x500_y50_baseline,2020-02-24,2020-02-21,2020-03-02,100000000,0.05,10,25,-0.05920348852220425,-0.060055300188128435,0.024541111499999855,49,50,49,0.9754588885000005,1.1028008694527052,1.0782597579527053,0.024541111499999824,0.977746561342322,0.02,0.0045411115,0.0,0.00035565563606332134,0.0009054154171832014,0.019003924195030823,0.05,0.0005497597811198801
p_l10_s3_b2_x500_y50_baseline,2020-03-02,2020-02-28,2020-03-09,100000000,0.05,10,25,0.012447390819344761,0.010971604930502865,0.07267334399999907,47,50,47,0.9273266560000004,1.8148823865434844,1.7422090425434849,0.07267334399999958,0.959956995263804,0.06,0.012673343999999998,0.0,0.0006098314683963118,0.0014576420485883945,0.021632519054107693,0.05000000000000001,0.0008478105801920827
p_l10_s3_b2_x500_y50_baseline,2020-03-09,2020-03-06,2020-03-16,100000000,0.05,10,25,-0.049539931444865126,-0.05072635420859528,0.055312089999999633,49,50,49,0.9446879100000004,1.4681025782392823,1.4127904882392823,0.055312089999999925,0.9623240972260013,0.02,0.035312090000000004,0.0,0.0005336324205603729,0.0012482615556208762,0.02484842834248483,0.05000000000000001,0.0007146291350605033
p_l10_s3_b2_x500_y50_baseline,2020-03-16,2020-03-13,2020-03-23,100000000,0.05,10,25,-0.030914103516342717,-0.03238190903580063,0.0,52,50,49,0.9517763223653724,1.7689361582443028,1.6724888029750444,0.0964473552692584,0.9454771983602936,0.06401889552628223,0.030748504189301133,0.0,0.0006492869781391052,0.0015146289145099628,0.025597321505064417,0.049999999999999996,0.0008653419363708576
p_l10_s3_b2_x500_y50_baseline,2020-03-23,2020-03-20,2020-03-30,100000000,0.05,10,25,-0.018424566608512216,-0.01973792226747928,0.0,53,50,49,0.964972709217211,1.6294697120780528,1.5594151305124717,0.07005458156558109,0.9570077424291361,0.041904215700757405,0.015932300417363585,0.0,0.0005583003089111711,0.0013380078741674075,0.022370889582908914,0.05,0.0007797075652562364
p_l10_s3_b2_x500_y50_baseline,2020-03-30,2020-03-27,2020-04-07,100000000,0.05,10,25,0.0358242051676938,0.034273263610682836,0.05289378730003423,53,50,48,0.9091500887500005,1.8829198100435187,1.7541137748435536,0.12880603519996514,0.9315923946878077,0.05640515177175384,0.07240088342821135,0.0,0.0006466919125492406,0.0014973019063209997,0.023895071512736777,0.05,0.0008506099937717591
p_l10_s3_b2_x500_y50_baseline,2020-04-07,2020-04-03,2020-04-13,100000000,0.05,10,25,0.005682986730470185,0.004317099750398956,0.0,61,50,50,0.9759071148629117,1.5203745598692548,1.472188789595077,0.04818577027417792,0.9683066452530475,0.0,0.04522559968725891,0.0,0.0005965419094730724,0.0013581685263581757,0.028394017841701844,0.05,0.0007616266168851033
p_l10_s3_b2_x500_y50_baseline,2020-04-13,2020-04-10,2020-04-20,100000000,0.05,10,25,0.029290455162542806,0.028482404886867263,0.011895852423116936,55,50,50,0.9800662493836088,0.9218365901727622,0.8938649413630952,0.02797164880966696,0.969656608223346,0.0,0.02797164880966725,0.0,0.00034407109422045576,0.0007850556386904447,0.02610953558280105,0.05000000000000001,0.0004409845444699889
p_l10_s3_b2_x500_y50_baseline,2020-04-20,2020-04-17,2020-04-27,100000000,0.05,10,25,-0.025223883684604487,-0.026383448606110527,0.024607223149582764,52,50,50,0.9715621822459545,1.3686862805199518,1.3364178681614431,0.032268412358508636,0.9764238066693778,0.0,0.03226841235850848,0.0,0.0005278865207294751,0.0011895705096766664,0.02672472745300395,0.05000000000000001,0.0006616839889471913
p_l10_s3_b2_x500_y50_baseline,2020-04-27,2020-04-24,2020-05-06,100000000,0.05,10,25,0.007864254588342945,0.006949055835302254,3.213304188703914e-16,54,50,50,0.9739245550791331,1.0503838544474597,0.9982329646057264,0.05215088984173333,0.95035063646407,0.019404685597271425,0.03205810117435385,0.0,0.00039631908781735426,0.000908057557229728,0.02713486112234313,0.05,0.0005117384694123737
p_l10_s3_b2_x500_y50_baseline,2020-05-06,2020-04-30,2020-05-11,100000000,0.05,10,25,0.01981913563894322,0.018481271515772058,4.510281037539698e-16,60,50,49,0.9437782168542574,1.5974407526372616,1.4849971863457792,0.11244356629148244,0.9296101804678226,0.059476418450279026,0.04347849550673874,0.03947641845027902,0.0005693655172539495,0.0013118641104268376,0.025537922260705562,0.05,0.0007424985931728883
p_l10_s3_b2_x500_y50_baseline,2020-05-11,2020-05-08,2020-05-18,100000000,0.05,10,25,0.013034045195468247,0.01219426556274028,0.0,52,50,49,0.9612717842151317,1.058429121635872,0.9809726900661362,0.07745643156973592,0.9268194440360618,0.05870923487383478,1.8980911032751013e-05,0.038709234873834784,0.00033848839348709253,0.0008289747385201612,0.021035513792779105,0.05,0.0004904863450330687
p_l10_s3_b2_x500_y50_baseline,2020-05-18,2020-05-15,2020-05-25,100000000,0.05,10,25,-0.024031215764542146,-0.024967450141816228,0.027305276484252097,52,50,50,0.9344835350000006,1.2268338750215686,1.1231062215058207,0.10372765351574786,0.9154509378754118,0.038211188515747965,0.06551646500000001,0.038211188515747965,0.0004113867428150402,0.0009592872153258243,0.023622223855695294,0.05000000000000001,0.0005479004725107841
p_l10_s3_b2_x500_y50_baseline,2020-05-25,2020-05-22,2020-06-01,100000000,0.05,10,25,0.04672611390617365,0.04539088372645783,0.12087819130359302,52,50,50,0.8399697485762865,1.6551641692955197,1.4559818577516854,0.19918231154383426,0.8796600873564032,0.03915206012012092,0.16003025142371366,0.03915206012012092,0.0005940845331114332,0.0012756251725992173,0.02852594760865251,0.05000000000000001,0.0006815406394877842
p_l10_s3_b2_x500_y50_baseline,2020-06-01,2020-05-29,2020-06-08,100000000,0.05,10,25,0.017265854886120424,0.016093159202033247,0.050811096370423914,59,50,47,0.8925161782287196,1.417606355621916,1.2534498084497792,0.1641565471721369,0.8842016004505566,0.09740430242445489,0.06675224474768249,0.037404302424454874,0.0004937313135959193,0.0011527917490343417,0.02724691087551131,0.05000000000000001,0.0006590604354384226
p_l10_s3_b2_x500_y50_baseline,2020-06-08,2020-06-05,2020-06-15,100000000,0.05,10,25,-0.006529453466411761,-0.007697875959356337,3.608224830031759e-16,60,50,50,0.9235955757750404,1.475982348589528,1.323173500139608,0.15280884844991993,0.8964697317715578,0.0367694464969948,0.05798786873466693,0.0367694464969948,0.0004895407000437387,0.0011761017948860371,0.02404466709785688,0.05,0.0006865610948422984
p_l10_s3_b2_x500_y50_baseline,2020-06-15,2020-06-12,2020-06-22,100000000,0.05,10,25,0.015232470523021346,0.01403924658748612,0.06182299000992403,53,50,48,0.8949356324844356,1.5189112389261887,1.370605493904984,0.14830574502120464,0.9023604926868202,0.0770111088097081,0.07129463621149713,0.03701110880970809,0.0005209296427048333,0.001175320894652363,0.02546573108426639,0.05000000000000001,0.0006543912519475296
p_l10_s3_b2_x500_y50_baseline,2020-06-22,2020-06-19,2020-06-29,100000000,0.05,10,25,0.0029771421030120315,0.0017630805463400012,0.0,56,50,50,0.9459857658807073,1.4598728315633085,1.3518443633247215,0.10802846823858703,0.9260014530697824,0.036455796957164825,0.03754107566212749,0.036455796957164825,0.0005040879686831571,0.0012104578516380481,0.02421413397756655,0.05000000000000001,0.000706369882954891
p_l10_s3_b2_x500_y50_baseline,2020-06-29,2020-06-24,2020-07-06,100000000,0.05,10,25,0.047866469650598154,0.04693003475293933,5.065392549852277e-16,51,50,49,0.9636524149685745,1.1898543326367803,1.11715916257393,0.0726951700628502,0.9389041430796374,0.056347585031424965,0.0006655975000000001,0.03634758503142496,0.0003350790334133638,0.0008936586147003286,0.016080110216164293,0.048634595419323245,0.0005585795812869648
p_l10_s3_b2_x500_y50_baseline,2020-07-06,2020-07-03,2020-07-13,100000000,0.05,10,25,0.06961705724924117,0.06815478520861395,0.1914401845756199,47,50,44,0.7687343485,1.9999999999999991,1.7289088815756204,0.2710911184243787,0.8644544407878105,0.15468722979898836,0.11640388862539092,0.03468722979898836,0.0005983643067773676,0.0013670986552773677,0.021637785685421955,0.05000000000000001,0.0007687343485
p_l10_s3_b2_x500_y50_baseline,2020-07-13,2020-07-10,2020-07-20,100000000,0.05,10,25,-0.011717557421939584,-0.012809030673020416,0.09412474198990799,46,50,44,0.8734456800000004,1.4229919464151202,1.2640080484050291,0.15898389801009105,0.8882749137051604,0.1524295780100911,0.006554320000000002,0.03242957801009111,0.00042998257791132034,0.0011044142889288927,0.02058268560626509,0.05,0.0006744317110175725
p_l10_s3_b2_x500_y50_baseline,2020-07-20,2020-07-17,2020-07-27,100000000,0.05,10,25,-0.01360995727100267,-0.014745832423409322,0.044352147386577806,49,50,47,0.9228337737500004,1.4701053432558835,1.3601250381424623,0.10998030511342116,0.925188827033412,0.09281407886342131,0.01716622625,0.0328140788634213,0.0004460408562109104,0.0011515476669493718,0.019680868208682045,0.05,0.0007055068107384614
