scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l20_s3_b3_e1_n120_tc50_buf2,"L=20, S=3, bins=3, E=1, top_n=120, tc50_buf2",20,3,3,1,120,0.8947734767399346,0.24061492616095304,0.21036621949971823,0.7835324183813994,-0.20678254476947494,-0.21424235931657332,0.9034259020687637,0.9332125521089808,0.031811804471431816,0.2391128000174414,0.3978475619405329
p_l20_s5_b2_e1_n120_tc50_buf2,"L=20, S=5, bins=2, E=1, top_n=120, tc50_buf2",20,5,2,1,120,0.8733767607408611,0.24358575361359996,0.21220295325694272,0.7951431648492155,-0.221881536721542,-0.2258896696106527,0.8943549515984262,0.9300125782683326,0.028039686472539387,0.24143943298961235,0.3952886720280824
p_l40_s3_b3_e1_n120_tc50_buf2,"L=40, S=3, bins=3, E=1, top_n=120, tc50_buf2",40,3,3,1,120,0.860801668313252,0.23598689962226352,0.2074571041247597,0.758817276646838,-0.2183715062850622,-0.2284369356569429,0.9089376925742738,0.9345384027938669,0.03503641392907114,0.24504247905179571,0.3945901194425306
p_l20_s3_b2_e1_n120_tc50_buf2,"L=20, S=3, bins=2, E=1, top_n=120, tc50_buf2",20,3,2,1,120,0.8136733572288526,0.2242160544536327,0.19146153483591055,0.7361336652086337,-0.19674873058584255,-0.20350224302991482,0.9007427516407817,0.9333579346309305,0.029010513290651796,0.2374961942668897,0.39601355764099505
p_l20_s3_b3_e1_n100_tc50_buf2,"L=20, S=3, bins=3, E=1, top_n=100, tc50_buf2",20,3,3,1,100,0.7775787141995495,0.2366548585619064,0.19227032396224852,0.7786517154546373,-0.20591360231667125,-0.21719833485966922,0.8858693303137122,0.9195410227949927,0.04034018688560129,0.22909075450846325,0.39820424914571206
p_l20_s5_b3_e1_n120_tc50_buf2,"L=20, S=5, bins=3, E=1, top_n=120, tc50_buf2",20,5,3,1,120,0.749491577562588,0.21860349938005436,0.18895340177677156,0.7023910945693402,-0.23849749706990878,-0.24365064670776992,0.8957791062001073,0.9305876652476469,0.028471176230568402,0.19280546928280667,0.3951659226047042
p_l20_s5_b2_e1_n100_tc50_buf2,"L=20, S=5, bins=2, E=1, top_n=100, tc50_buf2",20,5,2,1,100,0.7421492739151002,0.2339003871370836,0.1896098609244894,0.7576999050160411,-0.21578543822489216,-0.21978855087744276,0.877157004031454,0.9163775834785736,0.03637140938477154,0.21858643580600776,0.3962756529527036
p_l20_s5_b3_e1_n100_tc50_buf2,"L=20, S=5, bins=3, E=1, top_n=100, tc50_buf2",20,5,3,1,100,0.7340071556585538,0.2323783507998916,0.19394984990432662,0.7543622976293446,-0.23056147286448134,-0.23448886321854545,0.8779106119904342,0.9165477803092968,0.03689629410129755,0.20776055669152693,0.3962337484094982
p_l40_s5_b3_e1_n120_tc50_buf2,"L=40, S=5, bins=3, E=1, top_n=120, tc50_buf2",40,5,3,1,120,0.7331505877757597,0.21271969586577955,0.1831500348629631,0.6702980994296629,-0.2215160532209243,-0.22895411375815433,0.9051882918014267,0.933565176180058,0.033119361405299336,0.2251263687204234,0.3918443841118415
p_l20_s10_b3_e1_n120_tc50_buf2,"L=20, S=10, bins=3, E=1, top_n=120, tc50_buf2",20,10,3,1,120,0.7274998298457073,0.20907747999203916,0.18371974139603098,0.6568961150210834,-0.21820993796971702,-0.22392634183907056,0.9026786986229417,0.9342627955682095,0.029665703225253012,0.22811665011967147,0.392027860925656
