scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l20_s5_b2_e1_n120_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=120, tc50_buf2",20,5,2,1,120,0.894262439417889,0.2467201603905998,0.2238685453074185,0.8077027419571883,-0.22188645716735986,-0.22633107908072114,0.8896847163546939,0.9268359239709033,0.027181941830672327,0.24028890636213757,0.3974176020052744
p_l40_s3_b3_e1_n120_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=120, tc50_buf2",40,3,3,1,120,0.8937915403147614,0.23956486539373995,0.21477825683892826,0.7703472597230816,-0.21958059668693536,-0.22802717171100295,0.9066409299941152,0.9331079460091094,0.03429643349259009,0.23111182700627764,0.39571496375380416
p_l20_s3_b3_e1_n120_tc50_buf4,"L=20, S=3, bins=3, E=1, top_n=120, tc50_buf2",20,3,3,1,120,0.8520371868024579,0.24167183524080757,0.2146114485740498,0.7906586679405067,-0.2273151878234444,-0.23551398106851218,0.8886267340893395,0.9260776491617094,0.027912906111838096,0.23718225773330018,0.39709882689374737
p_l20_s3_b2_e1_n120_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=120, tc50_buf2",20,3,2,1,120,0.8189322155965932,0.2259530529603574,0.1973398797298127,0.7333517106829996,-0.21364341618971938,-0.21839792025100901,0.9005072832957379,0.931335556340891,0.03064129316343943,0.23120691424933934,0.3995081489222647
p_l20_s3_b2_e1_n100_tc50_buf4,"L=20, S=3, bins=2, E=1, top_n=100, tc50_buf2",20,3,2,1,100,0.8100851721371527,0.24354299844532049,0.21335480829315756,0.793899974149411,-0.21865597674666828,-0.22582882759018463,0.882822131947418,0.9180859114224518,0.03739760823698925,0.2582817029252174,0.40072041824445603
p_l40_s5_b3_e1_n120_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=120, tc50_buf2",40,5,3,1,120,0.7632192050610294,0.21279170131313413,0.18370749531270958,0.6713544478686798,-0.21952088074413093,-0.22615572901363346,0.9037859191749232,0.9322911321553984,0.03299049841312902,0.20617681830056397,0.39328468462216337
p_l10_s10_b3_e1_n120_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=120, tc50_buf2",10,10,3,1,120,0.7612339717369306,0.21481083458557493,0.19557507516345374,0.694591320701412,-0.25710670557665466,-0.265551017185941,0.9046519155374928,0.9331022033866486,0.03157817022215001,0.1855803665416218,0.3987804472246261
p_l20_s5_b3_e1_n120_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=120, tc50_buf2",20,5,3,1,120,0.7562647121632428,0.2185998314081544,0.18871220771744102,0.7015783687512751,-0.23967420862382716,-0.2438143654560626,0.8949737588141288,0.9289721685297864,0.02914367656730835,0.19480846834577326,0.3978149883880389
p_l10_s10_b3_e1_n100_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=100, tc50_buf2",10,10,3,1,100,0.7552411142551663,0.22833104174541866,0.20375621227244434,0.747059220197691,-0.24608621450400248,-0.2571069565030868,0.8882342606590765,0.9194109578522932,0.04054115498635802,0.19041840154097495,0.40080454417392686
p_l40_s10_b3_e1_n120_tc50_buf4,"L=40, S=10, bins=3, E=1, top_n=120, tc50_buf2",40,10,3,1,120,0.7458953950821475,0.21490550661959917,0.18234251164754145,0.6522270091130294,-0.22956369352792944,-0.23276718058457935,0.9045167135032062,0.9337020973411,0.032905744127219125,0.23080471142430944,0.3835280078454414
p_l40_s3_b2_e1_n120_tc50_buf4,"L=40, S=3, bins=2, E=1, top_n=120, tc50_buf2",40,3,2,1,120,0.7457042304950606,0.20343888973069824,0.1804607059177603,0.645729263653314,-0.21264618564040974,-0.21521136107734817,0.9057483889231182,0.9339035060451975,0.03188212981549256,0.20508887082138338,0.3951006036984502
p_l20_s5_b2_e1_n100_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=100, tc50_buf2",20,5,2,1,100,0.7448311861774145,0.2350128673467424,0.19717593852078852,0.7617610281416466,-0.2222179029554936,-0.2263377353609315,0.8714252812382218,0.9123791141170491,0.03531759195427561,0.21642712753161722,0.39853364901757804
p_l40_s3_b3_e1_n100_tc50_buf4,"L=40, S=3, bins=3, E=1, top_n=100, tc50_buf2",40,3,3,1,100,0.7316863885276197,0.23332979377605267,0.19047270426469587,0.7475540043395145,-0.2326600466615391,-0.24347203068324386,0.8897740072268991,0.9193697740964176,0.04278335108915109,0.24622382315178168,0.3975435837262576
p_l20_s10_b3_e1_n120_tc50_buf4,"L=20, S=10, bins=3, E=1, top_n=120, tc50_buf2",20,10,3,1,120,0.729958701696422,0.20671683853924927,0.18245926295098092,0.6522228449330298,-0.22361745117839105,-0.23085826775569718,0.8967953454629877,0.9315646456492033,0.027511158559908152,0.21112387506536118,0.3923492244900125
p_l40_s5_b3_e1_n100_tc50_buf4,"L=40, S=5, bins=3, E=1, top_n=100, tc50_buf2",40,5,3,1,100,0.7269363945312205,0.22805982972692693,0.18662961199708716,0.7346049612618386,-0.221975479092322,-0.2298484938229831,0.884803443412226,0.9175145242506151,0.040832990245418616,0.21994500307788983,0.39555885681398956
p_l20_s5_b3_e1_n100_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=100, tc50_buf2",20,5,3,1,100,0.7088861762280745,0.22876166101390855,0.1902810695764181,0.737208686794177,-0.23800904773029194,-0.24121536980333647,0.8739460425066833,0.913077785110181,0.03696992236013013,0.19355465555887835,0.3986985906064466
p_l10_s10_b2_e1_n120_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=120, tc50_buf2",10,10,2,1,120,0.708584526621788,0.20125933820848987,0.18279564429565553,0.6450331785674099,-0.23721610840391522,-0.24699886695363826,0.9004783601196336,0.9313358471943926,0.03048005315470766,0.1899047157918329,0.39784474024118827
