scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost
p_l10_s10_b3_x500_y50_baseline,"L=10, S=10, bins=3, X=500, Y=50, baseline",10,10,3,1,50,0.7730329373916197,0.3158760210580649,0.23142491917089303,1.0283719563092786,-0.29848177869510284,-0.3328034061992151,0.8617412495030465,0.8620038357830218,0.09267301751758004,0.25502648958738056,0.36170522943565714
p_l20_s5_b3_x500_y50_baseline,"L=20, S=5, bins=3, X=500, Y=50, baseline",20,5,3,1,50,0.7348708073761575,0.30871115513035297,0.2279523634016618,1.0149081784066045,-0.2591304929764473,-0.2791115533263473,0.8515305570800581,0.8553594983241221,0.08862394849620858,0.24197520477350662,0.36630908036522025
p_l10_s10_b2_x500_y50_baseline,"L=10, S=10, bins=2, X=500, Y=50, baseline",10,10,2,1,50,0.7200135626792928,0.30704411658256564,0.22529065263264791,0.994245858745246,-0.2955481310259543,-0.3216621213564038,0.8602517956786162,0.8613670821289376,0.09158267095797376,0.23824222014573607,0.36319014926821624
p_l20_s3_b3_x500_y50_baseline,"L=20, S=3, bins=3, X=500, Y=50, baseline",20,3,3,1,50,0.6830132052427327,0.29369822639999504,0.20746439294690555,0.9772925774096657,-0.249535947013057,-0.2802555525282424,0.8615236339729557,0.8550344680800562,0.10049910744532037,0.22410237746433714,0.38175665925812946
p_l20_s10_b3_x500_y50_baseline,"L=20, S=10, bins=3, X=500, Y=50, baseline",20,10,3,1,50,0.6775049490341469,0.29151239683180846,0.20734516338776254,0.9085270555642223,-0.2738988445279316,-0.2912270406546864,0.8577536196336798,0.8681403310140484,0.08348592951245064,0.1900352608006619,0.3385629486687962
p_l20_s5_b2_x500_y50_baseline,"L=20, S=5, bins=2, X=500, Y=50, baseline",20,5,2,1,50,0.6686648828945005,0.30320203500406634,0.21584193215521652,1.0116560111831576,-0.27235594370330274,-0.29554110856863425,0.8573329077093502,0.8539189750055576,0.09530816752549215,0.2619730836248495,0.378950377304156
p_l40_s3_b3_x500_y50_baseline,"L=40, S=3, bins=3, X=500, Y=50, baseline",40,3,3,1,50,0.6476049339698182,0.2890769331876872,0.2258843687088128,0.9250082668887684,-0.3079331636347319,-0.33676341051297964,0.8620222003432887,0.8688088962197882,0.08592449566703957,0.26255513699107164,0.34433359061326335
p_l20_s10_b2_x500_y50_baseline,"L=20, S=10, bins=2, X=500, Y=50, baseline",20,10,2,1,50,0.5101687496059908,0.2776591315732147,0.2028316886010737,0.865831029655587,-0.3098669011809736,-0.32895073984926815,0.8587412514160867,0.8667986866409145,0.08538839468478951,0.25875156671354643,0.34541790871650657
p_l40_s5_b3_x500_y50_baseline,"L=40, S=5, bins=3, X=500, Y=50, baseline",40,5,3,1,50,0.4046340351852933,0.2636236519405336,0.2008165138573228,0.8324149887685262,-0.3099674560255364,-0.3377533603871822,0.8513186971982372,0.8671227772849368,0.07783323048160257,0.2673414877658204,0.33547603503994317
p_l40_s10_b3_x500_y50_baseline,"L=40, S=10, bins=3, X=500, Y=50, baseline",40,10,3,1,50,0.39242293131558187,0.2544516188176678,0.18679512849945112,0.7729299563824034,-0.30885419832736727,-0.338112145315867,0.8549448236196672,0.8779473527220545,0.07129717551627968,0.2622155062670174,0.31108429515713076
p_l20_s3_b2_x500_y50_baseline,"L=20, S=3, bins=2, X=500, Y=50, baseline",20,3,2,1,50,0.3916431646325876,0.27128314228055106,0.18480336245452933,0.9146328879337029,-0.2807493215958275,-0.30927580628381823,0.8541606508435984,0.8476305885740327,0.09893221105886374,0.252634384933235,0.39239372364880204
p_l40_s10_b2_x500_y50_baseline,"L=40, S=10, bins=2, X=500, Y=50, baseline",40,10,2,1,50,0.3454367093152642,0.249259437100676,0.18075217503785557,0.7662995317633408,-0.3160169762239027,-0.3475647717252386,0.8599227792047058,0.8727745127163139,0.07989194165388017,0.25838573416756494,0.3309555285503991
p_l40_s5_b2_x500_y50_baseline,"L=40, S=5, bins=2, X=500, Y=50, baseline",40,5,2,1,50,0.3407427981325464,0.24781511879583876,0.18071215178074396,0.7824747781384848,-0.3078623243129999,-0.3380813126057729,0.8637381353266504,0.8629141516349387,0.09242314069526592,0.23642148273262803,0.3624239226926524
p_l40_s3_b2_x500_y50_baseline,"L=40, S=3, bins=2, X=500, Y=50, baseline",40,3,2,1,50,0.2661631351882621,0.23805850262044898,0.17481721653868854,0.7606319047910952,-0.3233912868759794,-0.3536684958047661,0.8667887291148051,0.8625138221778875,0.09546856953196176,0.23607360940936828,0.37158382417766445
