scenario,description,max_turnover,buffer_multiplier,date,signal_date,next_date,return,num_stocks,turnover,baseline_overlap,retained_old_count,retained_outside_candidate_count,selected_codes,avg_similarity,median_similarity,avg_rank,missing_similarity_count,long_prd,short_prd,channel_bins,extreme_value,top_n,barra_pool_size,alpha_top_n
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-02-17,2020-02-14,2020-02-24,0.08911874680920634,50,0.0,1.0,0,0,"['300673.SZ', '300777.SZ', '300775.SZ', '300766.SZ', '002891.SZ', '300691.SZ', '300561.SZ', '300609.SZ', '300424.SZ', '603103.SH', '300627.SZ', '601606.SH', '603013.SH', '603185.SH', '300288.SZ', '300252.SZ', '603218.SH', '300773.SZ', '000697.SZ', '300708.SZ', '300788.SZ', '600184.SH', '002845.SZ', '300047.SZ', '300634.SZ', '002937.SZ', '300386.SZ', '002197.SZ', '002474.SZ', '300101.SZ', '603595.SH', '300365.SZ', '300215.SZ', '002920.SZ', '002913.SZ', '002218.SZ', '600765.SH', '002567.SZ', '603896.SH', '002121.SZ', '002389.SZ', '002901.SZ', '603078.SH', '603133.SH', '300740.SZ', '603711.SH', '600227.SH', '002346.SZ', '002906.SZ', '002741.SZ']",0.25789016481228055,0.25221633843041585,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-02-24,2020-02-21,2020-03-02,-0.06226947081629586,50,0.54,1.0,23,0,"['300777.SZ', '300775.SZ', '300766.SZ', '002935.SZ', '300771.SZ', '300627.SZ', '603103.SH', '300691.SZ', '300424.SZ', '300687.SZ', '601606.SH', '300561.SZ', '603185.SH', '300609.SZ', '300678.SZ', '000561.SZ', '300546.SZ', '300738.SZ', '300065.SZ', '300252.SZ', '300288.SZ', '300673.SZ', '300788.SZ', '300494.SZ', '603496.SH', '300367.SZ', '600184.SH', '300364.SZ', '300739.SZ', '002897.SZ', '300785.SZ', '300386.SZ', '300047.SZ', '000697.SZ', '603679.SH', '002929.SZ', '600855.SH', '300035.SZ', '002197.SZ', '300248.SZ', '603121.SH', '603602.SH', '002891.SZ', '603595.SH', '600990.SH', '002474.SZ', '300368.SZ', '002141.SZ', '603533.SH', '603081.SH']",0.25510430839002274,0.24798752834467128,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-03-02,2020-02-28,2020-03-09,0.011248382506765884,50,0.92,1.0,4,0,"['300424.SZ', '603185.SH', '300771.SZ', '300423.SZ', '002441.SZ', '603618.SH', '002654.SZ', '603179.SH', '002300.SZ', '002331.SZ', '300440.SZ', '300368.SZ', '002443.SZ', '300568.SZ', '002478.SZ', '603225.SH', '300185.SZ', '600117.SH', '600973.SH', '000599.SZ', '300309.SZ', '603612.SH', '002845.SZ', '300262.SZ', '600577.SH', '300625.SZ', '603458.SH', '000666.SZ', '300751.SZ', '600081.SH', '002707.SZ', '000719.SZ', '002869.SZ', '002015.SZ', '300094.SZ', '600986.SH', '600387.SH', '300422.SZ', '300657.SZ', '600136.SH', '002734.SZ', '300506.SZ', '603661.SH', '600686.SH', '603359.SH', '603606.SH', '603113.SH', '603030.SH', '300140.SZ', '600552.SH']",0.2444289173296437,0.23566240055344173,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-03-09,2020-03-06,2020-03-16,-0.05399106921076347,50,0.74,1.0,13,0,"['002270.SZ', '300423.SZ', '002852.SZ', '002300.SZ', '603333.SH', '603618.SH', '002443.SZ', '000599.SZ', '300185.SZ', '300094.SZ', '002478.SZ', '002283.SZ', '000893.SZ', '603458.SH', '600676.SH', '603869.SH', '603357.SH', '000666.SZ', '300067.SZ', '002661.SZ', '000711.SZ', '603980.SH', '600108.SH', '000545.SZ', '000639.SZ', '002412.SZ', '600713.SH', '600351.SH', '300506.SZ', '002435.SZ', '000950.SZ', '000055.SZ', '300064.SZ', '600199.SH', '603359.SH', '600292.SH', '600345.SH', '000597.SZ', '002392.SZ', '600581.SH', '603030.SH', '002088.SZ', '600480.SH', '603063.SH', '002377.SZ', '002538.SZ', '600569.SH', '600738.SH', '601929.SH', '603680.SH']",0.23810038610038614,0.22614451185879755,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-03-16,2020-03-13,2020-03-23,-0.03215813226503437,50,0.9,1.0,5,0,"['300673.SZ', '600467.SH', '000687.SZ', '300189.SZ', '300094.SZ', '002679.SZ', '300449.SZ', '600800.SH', '300364.SZ', '002141.SZ', '000561.SZ', '300011.SZ', '600855.SH', '601890.SH', '002703.SZ', '002121.SZ', '002331.SZ', '603896.SH', '002708.SZ', '300583.SZ', '600207.SH', '002447.SZ', '600990.SH', '000045.SZ', '000697.SZ', '002474.SZ', '300176.SZ', '002346.SZ', '000150.SZ', '002590.SZ', '600227.SH', '600468.SH', '600880.SH', '300199.SZ', '000893.SZ', '002284.SZ', '300219.SZ', '600199.SH', '000615.SZ', '600283.SH', '000762.SZ', '600818.SH', '000545.SZ', '600151.SH', '600316.SH', '600601.SH', '603777.SH', '002621.SZ', '603063.SH', '002167.SZ']",0.19648624667258208,0.2036379769299024,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-03-23,2020-03-20,2020-03-30,-0.02253921015635318,50,0.82,1.0,9,0,"['002933.SZ', '002937.SZ', '002148.SZ', '300678.SZ', '603297.SH', '000561.SZ', '300011.SZ', '002724.SZ', '002331.SZ', '002474.SZ', '002232.SZ', '002218.SZ', '002090.SZ', '300138.SZ', '603528.SH', '002951.SZ', '300440.SZ', '603676.SH', '300128.SZ', '600251.SH', '600468.SH', '300365.SZ', '603896.SH', '600880.SH', '300278.SZ', '300215.SZ', '300304.SZ', '300481.SZ', '300213.SZ', '600590.SH', '002308.SZ', '601126.SH', '300067.SZ', '300143.SZ', '600818.SH', '600293.SH', '300414.SZ', '300493.SZ', '300079.SZ', '603306.SH', '300531.SZ', '002650.SZ', '300345.SZ', '600345.SH', '000836.SZ', '300332.SZ', '002167.SZ', '600620.SH', '000903.SZ', '300261.SZ']",0.1610013605442177,0.1579591836734694,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-03-30,2020-03-27,2020-04-07,0.04044317751356024,50,0.94,1.0,3,0,"['002892.SZ', '002801.SZ', '603586.SH', '300423.SZ', '002852.SZ', '002270.SZ', '000922.SZ', '603333.SH', '300138.SZ', '002300.SZ', '002900.SZ', '300723.SZ', '002755.SZ', '300642.SZ', '300291.SZ', '300016.SZ', '300255.SZ', '600613.SH', '002322.SZ', '000788.SZ', '300662.SZ', '002443.SZ', '600973.SH', '603303.SH', '002462.SZ', '000529.SZ', '600351.SH', '002412.SZ', '300559.SZ', '600713.SH', '603823.SH', '000950.SZ', '603181.SH', '002661.SZ', '002644.SZ', '002706.SZ', '603848.SH', '603987.SH', '603277.SH', '603956.SH', '600211.SH', '002567.SZ', '600054.SH', '300039.SZ', '603661.SH', '002020.SZ', '002749.SZ', '603108.SH', '603306.SH', '300067.SZ']",0.20163265306122452,0.19732785200411102,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-04-07,2020-04-03,2020-04-13,0.006335635073382255,50,0.78,1.0,11,0,"['600530.SH', '002732.SZ', '603043.SH', '603886.SH', '603896.SH', '002907.SZ', '002900.SZ', '300583.SZ', '002840.SZ', '002755.SZ', '002880.SZ', '300723.SZ', '300439.SZ', '603919.SH', '300642.SZ', '300016.SZ', '300788.SZ', '600197.SH', '300149.SZ', '300196.SZ', '603987.SH', '300381.SZ', '000788.SZ', '600285.SH', '300039.SZ', '300633.SZ', '600668.SH', '000848.SZ', '603129.SH', '600702.SH', '600211.SH', '002043.SZ', '603108.SH', '600090.SH', '603127.SH', '000915.SZ', '600750.SH', '600933.SH', '300685.SZ', '600993.SH', '300481.SZ', '600587.SH', '002020.SZ', '600557.SH', '300233.SZ', '000789.SZ', '600720.SH', '000935.SZ', '002022.SZ', '603733.SH']",0.26006169909824395,0.2573959816484733,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-04-13,2020-04-10,2020-04-20,0.029406619160459058,50,0.44,1.0,28,0,"['002937.SZ', '600530.SH', '002732.SZ', '002582.SZ', '603043.SH', '603886.SH', '002840.SZ', '300723.SZ', '002907.SZ', '300642.SZ', '002900.SZ', '603919.SH', '002880.SZ', '002755.SZ', '603896.SH', '300171.SZ', '300439.SZ', '600197.SH', '000848.SZ', '600613.SH', '002462.SZ', '000788.SZ', '603096.SH', '002219.SZ', '600713.SH', '002644.SZ', '600594.SH', '300381.SZ', '000546.SZ', '002043.SZ', '300039.SZ', '600211.SH', '002708.SZ', '600090.SH', '600073.SH', '002424.SZ', '603108.SH', '603127.SH', '002020.SZ', '002589.SZ', '300473.SZ', '600750.SH', '002891.SZ', '002695.SZ', '000597.SZ', '300298.SZ', '600129.SH', '600993.SH', '300685.SZ', '002737.SZ']",0.25747429798987265,0.25843946601196865,25.5,0,10,3,2,1,50,500,50
p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",,,2020-04-20,2020-04-17,2020-04-27,-0.025895416979277424,50,0.68,1.0,16,0,"['603103.SH', '603711.SH', '002937.SZ', '603327.SH', '002732.SZ', '603043.SH', '603886.SH', '300788.SZ', '603297.SH', '002955.SZ', '002840.SZ', '300785.SZ', '300632.SZ', '002907.SZ', '603896.SH', '002900.SZ', '603919.SH', '300723.SZ', '603773.SH', '300642.SZ', '002755.SZ', '600197.SH', '300016.SZ', '002845.SZ', '601019.SH', '600479.SH', '300198.SZ', '600876.SH', '002869.SZ', '300604.SZ', '603367.SH', '002876.SZ', '600702.SH', '603987.SH', '000848.SZ', '600668.SH', '300657.SZ', '002043.SZ', '300737.SZ', '300291.SZ', '300740.SZ', '002288.SZ', '600326.SH', '300043.SZ', '600771.SH', '002020.SZ', '603133.SH', '300143.SZ', '000931.SZ', '300481.SZ']",0.27182931354359924,0.27152133580705007,25.5,0,10,3,2,1,50,500,50
