scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.05,2023,50,0.11777206160349984,0.06544301888929431,0.9796353937720365,1.0326237106257412
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.05,2024,52,0.04619683519200524,0.063689063343239,0.9354140465209527,3.494219221534257
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.05,2025,51,0.7076681283390149,0.060597499394041215,0.9307933075874535,3.6408630644456768
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.1,2023,50,0.12384298350011114,0.06641480790219557,0.9917060609795384,0.41786228876913756
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.1,2024,52,0.04230683383377287,0.06514454703019032,0.9504904661891705,2.6646529445251472
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.1,2025,51,0.7060284612062189,0.06069595867875656,0.9313387950653216,3.6122820924600823
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.2,2023,50,0.12392885462507564,0.06643025641557256,0.991877153728266,0.40919655781035813
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.2,2024,52,0.038933822756477277,0.06543260051562151,0.9531477633836425,2.520073089214172
p_l20_s3_b2_e1_n120_tc50_buf2,100000000,0.2,2025,51,0.7059662002790232,0.06068942795728237,0.9312119149530098,3.619100550066995
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.05,2023,50,0.06627049058623924,0.061391987532190516,0.8254618410430297,9.122454092569564
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.05,2024,52,0.042063170036036546,0.06223032898424819,0.8291450253956807,9.546742739369767
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.05,2025,51,0.6882538118700701,0.06465340221211963,0.8824100131563892,6.321877447961224
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.1,2023,50,0.09438460400041127,0.07347118559963442,0.9489760523409428,2.6092968425503766
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.1,2024,52,0.03594881253357274,0.07126167352721983,0.9132019436820247,4.743514468865699
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.1,2025,51,0.6968194387353426,0.06865575426494314,0.9267422026908227,3.8634914915714713
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.2,2023,50,0.10921917551944116,0.07805181265910541,0.9885068951508164,0.5804272457088655
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.2,2024,52,0.03408681007434167,0.0751418369924913,0.9442074337151196,3.005725105081847
p_l20_s3_b2_e1_n120_tc50_buf2,300000000,0.2,2025,51,0.6920796164445802,0.0692088577306396,0.931396506735311,3.609031801357179
p_l20_s3_b2_e1_n120_tc50_buf2,500000000,0.05,2023,50,0.03451800994968712,0.0540680008838209,0.6927690542397781,16.464847094905725
p_l20_s3_b2_e1_n120_tc50_buf2,500000000,0.05,2024,52,0.020767685576190242,0.05732081744533252,0.7275858681944545,15.53517846276288
p_l20_s3_b2_e1_n120_tc50_buf2,500000000,0.05,2025,51,0.6304656304048424,0.06149800896890106,0.7971496204817509,11.227009319687667
p_l20_s3_b2_e1_n120_tc50_buf2,500000000,0.1,2023,50,0.07003256390727763,0.07108150924976608,0.8654688006073044,6.992385281548071
p_l20_s3_b2_e1_n120_tc50_buf2,500000000,0.1,2024,52,0.03430114773280346,0.0706382267839737,0.8579641721081287,7.886693619923689
