scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2023,50,0.1166618689435368,0.060256260867994224,0.9440375156859669,3.9064597901935754
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2024,52,0.09850213670691854,0.060559797339624105,0.9174856022395216,5.955441897704765
p_l10_s10_b2_x500_y50_baseline,100000000,0.05,2025,51,0.3521610112811395,0.0570052612136872,0.9697734947614872,2.3507938681100145
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2023,50,0.13805508351651063,0.06577228177877771,0.9862483989391942,0.8900330042005559
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2024,52,0.07831294216807905,0.06569793097089291,0.95722351765543,3.010630752182811
p_l10_s10_b2_x500_y50_baseline,100000000,0.1,2025,51,0.3509041480556583,0.05794138392764923,0.9782535654561991,1.7628719805610695
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2023,50,0.1407020478772929,0.06624614571173557,0.9891525976233769,0.6957755360356644
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2024,52,0.07886194309906402,0.06657975611224128,0.9635592190441854,2.54673567090422
p_l10_s10_b2_x500_y50_baseline,100000000,0.2,2025,51,0.3510877977571061,0.05802970734491609,0.9790243038300163,1.7108082430018057
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2023,50,0.046569366554865876,0.04890784727362659,0.7165952822849911,19.503439978462676
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2024,52,0.10907387372398003,0.049989028050060134,0.7024677824677812,20.9681654131281
p_l10_s10_b2_x500_y50_baseline,300000000,0.05,2025,51,0.30197924931098785,0.05589612855451578,0.8335249141091202,11.86201170580369
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2023,50,0.08215220781752253,0.06957322522054374,0.8795416723722873,8.50475006344342
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2024,52,0.10080685961669444,0.07074302454747057,0.8607872828133036,10.107748414564126
p_l10_s10_b2_x500_y50_baseline,300000000,0.1,2025,51,0.3306481896949771,0.06961739784826598,0.9437325745132236,4.159037976540325
p_l10_s10_b2_x500_y50_baseline,300000000,0.2,2023,50,0.10460758137818038,0.08466916340512032,0.9707428262125375,1.9827728450501467
