scenario,date,signal_date,next_date,capital,participation_limit,fixed_cost_bps,impact_coef_bps,gross_return,net_return,cash_weight,actual_stock_count,target_stock_count,actual_target_overlap_count,actual_target_overlap_weight,desired_trade_weight,executed_trade_weight,unfilled_trade_weight,fill_ratio,blocked_trade_weight,capped_trade_weight,missing_adv_weight,period_impact_cost,period_cost,avg_participation,max_participation,period_fixed_cost
p_l10_s10_b2_x500_y50_baseline,2023-01-03,2022-12-30,2023-01-09,100000000,0.05,10,25,0.008138941563606394,0.007868849604092176,0.16310114849999943,44,50,44,0.8368988515,1.0,0.8368988515000004,0.16310114849999957,0.8368988515000004,0.12000000000000001,0.043101148500000006,0.0,0.00026791144392784546,0.00026791144392784546,0.01899845527859485,0.05,0.0
p_l10_s10_b2_x500_y50_baseline,2023-01-09,2023-01-06,2023-01-16,100000000,0.05,10,25,-0.0017677566072425988,-0.003377343443420777,0.07168640717695506,55,50,50,0.920965208,1.8382156052348972,1.751832428411853,0.0863831768230443,0.9530070484784042,0.0,0.08638317682304483,0.0,0.000691472024750155,0.001612437232750155,0.027622557681057158,0.05000000000000001,0.0009209652080000001
p_l10_s10_b2_x500_y50_baseline,2023-01-16,2023-01-13,2023-01-30,100000000,0.05,10,25,0.034156436023850656,0.0330893536186847,0.04310018379615842,61,50,50,0.9366815200000004,1.1782588614940992,1.0947220852902584,0.08353677620384081,0.9291015082221309,0.0,0.08353677620384135,0.0,0.00047012085152976465,0.0010318384801323147,0.031384442519686,0.05000000000000001,0.0005617176286025502
p_l10_s10_b2_x500_y50_baseline,2023-01-30,2023-01-20,2023-02-06,100000000,0.05,10,25,0.02192620913950094,0.02107201338681497,0.08034664497745042,53,50,48,0.9122233011883405,1.0216438199716098,0.9264370673257406,0.0952067526458692,0.9068102299600708,0.04,0.055206752645869245,0.0,0.0003919847888676652,0.0008358683288936185,0.030482157302965825,0.05000000000000001,0.0004438835400259534
p_l10_s10_b2_x500_y50_baseline,2023-02-06,2023-02-03,2023-02-13,100000000,0.05,10,25,0.023272383192190604,0.021758182391234948,0.0,55,50,50,0.9694736462088441,1.635690391669213,1.5746376840869014,0.061052707582311516,0.962674655366773,0.0,0.05653846354115619,0.0,0.0006531329699347098,0.0014797631850787208,0.029083674506354545,0.05000000000000001,0.0008266302151440112
p_l10_s10_b2_x500_y50_baseline,2023-02-13,2023-02-10,2023-02-20,100000000,0.05,10,25,-0.005788557276666717,-0.006572879765876838,0.005763478664042889,52,50,50,0.9911885675000005,0.9082725039578863,0.8964131176219295,0.011859386335956734,0.9869429204514303,0.0,0.011859386335957152,0.0,0.000343564198999559,0.0007888890184785021,0.025037780057775405,0.05,0.0004453248194789431
p_l10_s10_b2_x500_y50_baseline,2023-02-20,2023-02-17,2023-02-27,100000000,0.05,10,25,-0.01117762983886017,-0.01248799217561114,0.06131872868440914,53,50,50,0.9244344842500004,1.573059432568104,1.4832471297525132,0.08981230281559083,0.9429059697579465,0.0,0.08981230281559073,0.0,0.0006113119303420215,0.0013251746484430485,0.029035606590801906,0.05000000000000001,0.000713862718101027
p_l10_s10_b2_x500_y50_baseline,2023-02-27,2023-02-24,2023-03-06,100000000,0.05,10,25,0.026613528945331755,0.025134760709407233,0.045537395467663916,53,50,50,0.9446991011308697,1.5804730559003874,1.5154086536297902,0.06506440227059729,0.9588323242666542,0.0,0.06506440227059766,0.0,0.0006744916582951983,0.001440433224607645,0.032948881054039855,0.05,0.0007659415663124466
p_l10_s10_b2_x500_y50_baseline,2023-03-06,2023-03-03,2023-03-13,100000000,0.05,10,25,-0.02098123633961313,-0.02202968664615179,0.011765715353727235,59,50,50,0.9653569450000005,1.1833246281688847,1.1258042335226122,0.057520394646272566,0.9513908581998487,0.0,0.05752039464627259,0.0,0.0004917218121596375,0.0010709195221332113,0.032524662516167896,0.05000000000000001,0.0005791977099735737
p_l10_s10_b2_x500_y50_baseline,2023-03-13,2023-03-10,2023-03-20,100000000,0.05,10,25,-0.020129723219203144,-0.021418331142726954,0.006263191764179995,61,50,50,0.9570460091810431,1.5524295916118873,1.4727848017381528,0.07964478987373447,0.9486966814443164,0.008675281595638889,0.07096950827809577,0.0,0.0005758103849018325,0.0013150801223988232,0.026947562464007785,0.05000000000000001,0.0007392697374969907
