fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
1,2020,2022,2023,p_l20_s5_b2_e1_n120_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=120, tc50_buf2",20,5,2,1,120,0.8971397374194396,0.27842147472270184,0.24117365107502664,1.1798200434676045,-0.11118057751489727,-0.11473098644468804,0.8947478290693459,0.9279804751225968,0.03083809113307724,0.13169851903484087,0.195741235952383,1
1,2020,2022,2023,p_l10_s10_b3_e1_n100_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=100, tc50_buf2",10,10,3,1,100,0.7914521985942492,0.2571811421929052,0.22348950911722176,1.0624489245055093,-0.11896426335942249,-0.12293833455487302,0.9021558284408291,0.9241085226199193,0.047252465806833205,0.07574826517545993,0.1980570462643069,2
1,2020,2022,2023,p_l20_s5_b3_e1_n100_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=100, tc50_buf2",20,5,3,1,100,0.7639158424580472,0.26868346989022895,0.21641540072515264,1.1417403633636254,-0.1087430635612136,-0.11034293669248996,0.8807311092077805,0.9150712739214755,0.04148840319803174,0.13222486992651816,0.1963877642455541,3
1,2020,2022,2023,p_l20_s5_b3_e1_n120_tc50_buf4,"L=20, S=5, bins=3, E=1, top_n=120, tc50_buf2",20,5,3,1,120,0.7627674643355709,0.24592268909765228,0.20773951356081133,1.0391302496442876,-0.10917587911270117,-0.11009621962052651,0.9008333234423722,0.9307919028840972,0.032584670377873784,0.126900871143606,0.19588367087051872,4
1,2020,2022,2023,p_l10_s10_b3_e1_n120_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=120, tc50_buf2",10,10,3,1,120,0.761865130341339,0.23026046665882027,0.20982235653256187,0.9433332219035984,-0.1154634266335458,-0.11625827024385527,0.916724053277627,0.9370602689179905,0.03749514727308247,0.07362352436122102,0.19696386854127457,5
1,2020,2022,2023,p_l10_s10_b2_e1_n120_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=120, tc50_buf2",10,10,2,1,120,0.7509746468421721,0.2388272867074307,0.2151877005288736,0.9816417699422567,-0.13646635652734387,-0.13900012395687578,0.9149393868872155,0.9368224236706539,0.03564095757706299,0.10648555047927918,0.19709140608001435,6
1,2020,2022,2023,p_l10_s5_b2_e1_n120_tc50_buf4,"L=10, S=5, bins=2, E=1, top_n=120, tc50_buf2",10,5,2,1,120,0.7360036548827699,0.22821595485988144,0.2046086144128183,0.9520065248184432,-0.10988712533087618,-0.11367279551240395,0.9041347174500787,0.9330240634301378,0.03249926179846429,0.07268154623655067,0.19508433051896812,7
1,2020,2022,2023,p_l10_s10_b3_e1_n80_tc50_buf4,"L=10, S=10, bins=3, E=1, top_n=80, tc50_buf2",10,10,3,1,80,0.7082929734985481,0.27002981288533756,0.2149269221564618,1.1173894556567543,-0.11776275528751252,-0.12111819723423956,0.8786812236200449,0.9044026629544292,0.06067729833005667,0.09815887926836207,0.19780607547699883,8
1,2020,2022,2023,p_l20_s5_b2_e1_n100_tc50_buf4,"L=20, S=5, bins=2, E=1, top_n=100, tc50_buf2",20,5,2,1,100,0.7016788984458702,0.2556587319185693,0.2080203245478942,1.0735789941665679,-0.11322040187235569,-0.11532405889979236,0.8760185946640979,0.9132057147477474,0.03963718324063574,0.12044405609191397,0.19601342190933788,9
1,2020,2022,2023,p_l10_s10_b2_e1_n100_tc50_buf4,"L=10, S=10, bins=2, E=1, top_n=100, tc50_buf2",10,10,2,1,100,0.6895165562958248,0.24132383570637947,0.20913321032820953,1.001514140712782,-0.13439172720703374,-0.1373976219584815,0.9015466589513266,0.9234927596550475,0.04730828674326279,0.09153118947274087,0.19852648876263457,10
