scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
baseline,10000000,0.05,2020,46,0.18676444956815708,0.07237096780545868,0.9818593170553827,1.2969648909431697
baseline,10000000,0.05,2021,52,0.555789411939464,0.08562601032156927,0.9787886968157582,1.6458661399972256
baseline,10000000,0.05,2022,50,0.05978544573195643,0.08650599725262852,0.9790453981565596,1.578377973461409
baseline,10000000,0.05,2023,50,0.09054667932813487,0.08678658072242436,0.9909412823068883,0.7191362232289829
baseline,10000000,0.05,2024,52,0.08566921637820402,0.0866994938047677,0.9565145008979059,3.5798032906671695
baseline,10000000,0.05,2025,51,0.6275458482346687,0.07779650745266717,0.918233421936402,6.512953239844643
baseline,10000000,0.1,2020,46,0.19057515233450895,0.07241268641432369,0.9820711931217738,1.285085793532455
baseline,10000000,0.1,2021,52,0.555789411939464,0.08562601032156927,0.9787886968157582,1.6458661399972256
baseline,10000000,0.1,2022,50,0.05978544573195643,0.08650599725262852,0.9790453981565596,1.578377973461409
baseline,10000000,0.1,2023,50,0.09054667932813487,0.08678658072242436,0.9909412823068883,0.7191362232289829
baseline,10000000,0.1,2024,52,0.08566921637820402,0.0866994938047677,0.9565145008979059,3.5798032906671695
baseline,10000000,0.1,2025,51,0.6275458482346687,0.07779650745266717,0.918233421936402,6.512953239844643
baseline,10000000,0.2,2020,46,0.19325145673011046,0.07243494800977797,0.982154577413211,1.2800374887110268
baseline,10000000,0.2,2021,52,0.555789411939464,0.08562601032156927,0.9787886968157582,1.6458661399972256
baseline,10000000,0.2,2022,50,0.05978544573195643,0.08650599725262852,0.9790453981565596,1.578377973461409
baseline,10000000,0.2,2023,50,0.09054667932813487,0.08678658072242436,0.9909412823068883,0.7191362232289829
baseline,10000000,0.2,2024,52,0.08566921637820402,0.0866994938047677,0.9565145008979059,3.5798032906671695
baseline,10000000,0.2,2025,51,0.6275458482346687,0.07779650745266717,0.918233421936402,6.512953239844643
baseline,30000000,0.05,2020,46,0.17533917105225094,0.07687200935163235,0.9813674699882526,1.3285183557969809
baseline,30000000,0.05,2021,52,0.545911080948613,0.09151069744804512,0.9782783030106482,1.6833846693767156
baseline,30000000,0.05,2022,50,0.05336133193056347,0.09274243074591086,0.9790395856570061,1.5788629161409309
baseline,30000000,0.05,2023,50,0.08337902071738856,0.09336748185380295,0.9909279122164563,0.7203250260974955
baseline,30000000,0.05,2024,52,0.07920902727734402,0.09245897859271186,0.9555467264526514,3.652884858951494
baseline,30000000,0.05,2025,51,0.6204630208690693,0.08214874953717975,0.9182297871140439,6.513230421959932
baseline,30000000,0.1,2020,46,0.17914174396104565,0.07694368141725011,0.9817241278986927,1.304823771365788
baseline,30000000,0.1,2021,52,0.5465157768664703,0.09159389390978023,0.9787886968157582,1.6458661399972256
baseline,30000000,0.1,2022,50,0.05317808257855816,0.09274846692290595,0.9790453981565596,1.578377973461409
baseline,30000000,0.1,2023,50,0.08337556690604808,0.09337177699065913,0.9909412823068883,0.7191362232289829
baseline,30000000,0.1,2024,52,0.07926529345796851,0.09259434351843027,0.9564080325401123,3.587344883936529
baseline,30000000,0.1,2025,51,0.6204655218748139,0.08214900690850353,0.9182333288600599,6.512960343275099
baseline,30000000,0.2,2020,46,0.18356900278493615,0.07700151526635363,0.9819646974268906,1.290883987520551
baseline,30000000,0.2,2021,52,0.5465157768664703,0.09159389390978023,0.9787886968157582,1.6458661399972256
baseline,30000000,0.2,2022,50,0.05317808257855816,0.09274846692290595,0.9790453981565596,1.578377973461409
baseline,30000000,0.2,2023,50,0.08337556690604808,0.09337177699065913,0.9909412823068883,0.7191362232289829
baseline,30000000,0.2,2024,52,0.07925133539082041,0.09261781277512068,0.9565145008979059,3.5798032906671695
baseline,30000000,0.2,2025,51,0.6204655880588681,0.08214901368056693,0.918233421936402,6.512953239844643
baseline,100000000,0.05,2020,46,0.1555147212359791,0.08365650323198968,0.9676454211139387,2.2483467287285284
baseline,100000000,0.05,2021,52,0.5190266163591597,0.09675698182822522,0.9430187118693092,4.434143546831164
baseline,100000000,0.05,2022,50,0.04387475990756129,0.1010597637599062,0.9587085121550633,3.2304524962947028
baseline,100000000,0.05,2023,50,0.06140063929662154,0.10166264933130989,0.9667350988598615,2.6108626143364786
baseline,100000000,0.05,2024,52,0.06476786809311275,0.09982520362215068,0.9331367823722297,5.467261093809989
baseline,100000000,0.05,2025,51,0.6063157496324771,0.09031401067206342,0.9159694115590721,6.699201327492305
baseline,100000000,0.1,2020,46,0.1631466726229014,0.08571854489312061,0.980778940220853,1.369656980005167
baseline,100000000,0.1,2021,52,0.5269167263498493,0.10217996191231925,0.9736669694586456,2.0414095487484474
baseline,100000000,0.1,2022,50,0.04142642120296758,0.10468277068198066,0.9781823611160009,1.6490724941188117
baseline,100000000,0.1,2023,50,0.06926077257558183,0.10592886268651976,0.9897112496035075,0.8148452506053561
baseline,100000000,0.1,2024,52,0.06720909547385912,0.1033565416972879,0.952725940922946,3.8864909957631513
baseline,100000000,0.1,2025,51,0.6067488426926326,0.09064857410117969,0.9182417147268737,6.51241420087309
baseline,100000000,0.2,2020,46,0.16563219751834568,0.08584875319766856,0.9814464062283841,1.3231821200396172
baseline,100000000,0.2,2021,52,0.5284508602157274,0.10320374528010526,0.9785575921328588,1.6616183396044684
baseline,100000000,0.2,2022,50,0.04042308465382316,0.10494246639588775,0.9790452615065264,1.5783859482001237
baseline,100000000,0.2,2023,50,0.06951713253150138,0.10623646164144135,0.9909334848304943,0.7198403273861717
baseline,100000000,0.2,2024,52,0.06693392027340339,0.10403880533823123,0.9560077625235628,3.6177865749665434
baseline,100000000,0.2,2025,51,0.6067186894119168,0.09065251876360558,0.9182322296291048,6.513044130778935
baseline,300000000,0.05,2020,46,0.12295795840284218,0.0792452245004981,0.8558567564767671,9.423165827280501
baseline,300000000,0.05,2021,52,0.40663242595020965,0.0874429582197614,0.8189849050864099,13.500347270163571
baseline,300000000,0.05,2022,50,0.023126046051743065,0.0892381890961385,0.8246704474572093,13.290448455662867
baseline,300000000,0.05,2023,50,0.006224905043512141,0.08664918262801051,0.8009979708677301,14.739783839663973
baseline,300000000,0.05,2024,52,-0.021917395338993506,0.09284272220660489,0.8134209288058091,14.188622198353121
baseline,300000000,0.05,2025,51,0.5299559202107513,0.09352020244300706,0.8607979010613359,11.063107703642707
baseline,300000000,0.1,2020,46,0.13274142251202248,0.09278344527074427,0.9421710111606884,3.9312874226410006
baseline,300000000,0.1,2021,52,0.48273878456361574,0.10528620255211915,0.9088838213492169,7.035652847669664
baseline,300000000,0.1,2022,50,0.026778215721668497,0.11136404861194818,0.9270179714050581,5.750062191124332
baseline,300000000,0.1,2023,50,0.03090662238452646,0.11098028057245099,0.9252917232016076,5.770557929408442
baseline,300000000,0.1,2024,52,0.029047470842730627,0.11016094323833159,0.9035147213503248,7.734979717252647
baseline,300000000,0.1,2025,51,0.5797811557404005,0.10264888595119354,0.9097212252555795,7.196755027219899
baseline,300000000,0.2,2020,46,0.14461596075400562,0.09908654180962508,0.9761661384532182,1.6824038730396795
baseline,300000000,0.2,2021,52,0.4967516591606047,0.1171059419613336,0.9607251598539877,3.0531454634370805
baseline,300000000,0.2,2022,50,0.023069187853993256,0.12242842931734552,0.9718338786805554,2.170561817902456
baseline,300000000,0.2,2023,50,0.04529491186768264,0.12453072472326703,0.9820374432096723,1.413350370040214
baseline,300000000,0.2,2024,52,0.05031600135038894,0.11965909954777253,0.9452388408031572,4.502207720258479
