scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
baseline,100000000,0.05,2020,46,0.1555147212359791,0.08365650323198968,0.9676454211139387,2.2483467287285284
baseline,100000000,0.05,2021,52,0.5190266163591597,0.09675698182822522,0.9430187118693092,4.434143546831164
baseline,100000000,0.05,2022,50,0.04387475990756129,0.1010597637599062,0.9587085121550633,3.2304524962947028
baseline,100000000,0.05,2023,50,0.06140063929662154,0.10166264933130989,0.9667350988598615,2.6108626143364786
baseline,100000000,0.05,2024,52,0.06476786809311275,0.09982520362215068,0.9331367823722297,5.467261093809989
baseline,100000000,0.05,2025,51,0.6063157496324771,0.09031401067206342,0.9159694115590721,6.699201327492305
baseline,100000000,0.1,2020,46,0.1631466726229014,0.08571854489312061,0.980778940220853,1.369656980005167
baseline,100000000,0.1,2021,52,0.5269167263498493,0.10217996191231925,0.9736669694586456,2.0414095487484474
baseline,100000000,0.1,2022,50,0.04142642120296758,0.10468277068198066,0.9781823611160009,1.6490724941188117
baseline,100000000,0.1,2023,50,0.06926077257558183,0.10592886268651976,0.9897112496035075,0.8148452506053561
baseline,100000000,0.1,2024,52,0.06720909547385912,0.1033565416972879,0.952725940922946,3.8864909957631513
baseline,100000000,0.1,2025,51,0.6067488426926326,0.09064857410117969,0.9182417147268737,6.51241420087309
baseline,100000000,0.2,2020,46,0.16563219751834568,0.08584875319766856,0.9814464062283841,1.3231821200396172
baseline,100000000,0.2,2021,52,0.5284508602157274,0.10320374528010526,0.9785575921328588,1.6616183396044684
baseline,100000000,0.2,2022,50,0.04042308465382316,0.10494246639588775,0.9790452615065264,1.5783859482001237
baseline,100000000,0.2,2023,50,0.06951713253150138,0.10623646164144135,0.9909334848304943,0.7198403273861717
baseline,100000000,0.2,2024,52,0.06693392027340339,0.10403880533823123,0.9560077625235628,3.6177865749665434
baseline,100000000,0.2,2025,51,0.6067186894119168,0.09065251876360558,0.9182322296291048,6.513044130778935
baseline,300000000,0.05,2020,46,0.12295795840284218,0.0792452245004981,0.8558567564767671,9.423165827280501
baseline,300000000,0.05,2021,52,0.40663242595020965,0.0874429582197614,0.8189849050864099,13.500347270163571
baseline,300000000,0.05,2022,50,0.023126046051743065,0.0892381890961385,0.8246704474572093,13.290448455662867
baseline,300000000,0.05,2023,50,0.006224905043512141,0.08664918262801051,0.8009979708677301,14.739783839663973
baseline,300000000,0.05,2024,52,-0.021917395338993506,0.09284272220660489,0.8134209288058091,14.188622198353121
baseline,300000000,0.05,2025,51,0.5299559202107513,0.09352020244300706,0.8607979010613359,11.063107703642707
baseline,300000000,0.1,2020,46,0.13274142251202248,0.09278344527074427,0.9421710111606884,3.9312874226410006
baseline,300000000,0.1,2021,52,0.48273878456361574,0.10528620255211915,0.9088838213492169,7.035652847669664
baseline,300000000,0.1,2022,50,0.026778215721668497,0.11136404861194818,0.9270179714050581,5.750062191124332
baseline,300000000,0.1,2023,50,0.03090662238452646,0.11098028057245099,0.9252917232016076,5.770557929408442
baseline,300000000,0.1,2024,52,0.029047470842730627,0.11016094323833159,0.9035147213503248,7.734979717252647
baseline,300000000,0.1,2025,51,0.5797811557404005,0.10264888595119354,0.9097212252555795,7.196755027219899
baseline,300000000,0.2,2020,46,0.14461596075400562,0.09908654180962508,0.9761661384532182,1.6824038730396795
baseline,300000000,0.2,2021,52,0.4967516591606047,0.1171059419613336,0.9607251598539877,3.0531454634370805
baseline,300000000,0.2,2022,50,0.023069187853993256,0.12242842931734552,0.9718338786805554,2.170561817902456
baseline,300000000,0.2,2023,50,0.04529491186768264,0.12453072472326703,0.9820374432096723,1.413350370040214
baseline,300000000,0.2,2024,52,0.05031600135038894,0.11965909954777253,0.9452388408031572,4.502207720258479
baseline,300000000,0.2,2025,51,0.5848883127343179,0.10424861684386355,0.9176064220557747,6.565876492808881
baseline,500000000,0.05,2020,46,0.10937101896106549,0.07090090834785563,0.7583671802481031,15.34206384290369
baseline,500000000,0.05,2021,52,0.3164555241569993,0.07712439004876856,0.7266229249014242,19.629587511650556
baseline,500000000,0.05,2022,50,0.0031033345261570755,0.07512711492256635,0.7115416998700141,20.82209974556427
baseline,500000000,0.05,2023,50,-0.011329174380810825,0.07203437648335445,0.6784803507408625,22.760992943361845
baseline,500000000,0.05,2024,52,-0.045672586913274915,0.08213205728940288,0.7161142736438875,20.846487896352194
baseline,500000000,0.05,2025,51,0.44262779348012793,0.08542478220985777,0.7764840879510807,17.401864751508256
baseline,500000000,0.1,2020,46,0.1181102659392459,0.0904367571818006,0.8833271988763743,7.697729932833788
baseline,500000000,0.1,2021,52,0.41655877256250906,0.10047864925654038,0.8465127068441762,11.578222189569471
baseline,500000000,0.1,2022,50,0.016201443840607288,0.10472609648165854,0.8583047131141224,10.906392049157054
baseline,500000000,0.1,2023,50,0.00526282373507958,0.10232456381516146,0.8393547139333983,12.067323296833177
baseline,500000000,0.1,2024,52,-0.01766864062523399,0.1066213272165516,0.8421607923535345,12.167538752845203
baseline,500000000,0.1,2025,51,0.5417272639506439,0.10541919518365286,0.8815731159553666,9.430703355403942
baseline,500000000,0.2,2020,46,0.12457518654815702,0.10416480271426293,0.9559932859165944,3.0188211542158028
baseline,500000000,0.2,2021,52,0.47513002951502026,0.1195113680138055,0.9253448755168125,5.789064071691422
baseline,500000000,0.2,2022,50,0.014565678665505732,0.12728455768211708,0.9430384500971911,4.488135709642919
baseline,500000000,0.2,2023,50,0.02380717824228018,0.1283876689474035,0.9474456960101406,4.0979563524388185
baseline,500000000,0.2,2024,52,0.028363117978762675,0.12468501516617986,0.9189412450260627,6.5736653790673785
baseline,500000000,0.2,2025,51,0.5682510267767158,0.11268085565078985,0.9133887500618331,6.910179966633903
tc20_buf1p5,100000000,0.05,2020,46,0.16322771707951178,0.024482716458633813,0.9296157390521959,1.465421428838579
tc20_buf1p5,100000000,0.05,2021,52,0.24742822575997359,0.027311847674037576,0.917222250482543,1.9317977799369457
tc20_buf1p5,100000000,0.05,2022,50,0.0406547540564377,0.025921687492756102,0.9061136917599311,2.080558676240447
tc20_buf1p5,100000000,0.05,2023,50,0.0996459522969182,0.025317362916157538,0.8753139964314467,2.7506722722090133
tc20_buf1p5,100000000,0.05,2024,52,-0.008770187493830406,0.02495498648782139,0.8229513259408884,4.166107736643598
tc20_buf1p5,100000000,0.05,2025,51,0.587556389744772,0.02339909085797509,0.8006444338878984,4.723910450805189
tc20_buf1p5,100000000,0.1,2020,46,0.15919561113701608,0.024963291496874155,0.9470105917955043,1.091578822256829
tc20_buf1p5,100000000,0.1,2021,52,0.2531167573777031,0.02839211631895823,0.946088335391098,1.24472875691661
tc20_buf1p5,100000000,0.1,2022,50,0.04132362443266868,0.026294683281903555,0.9170324118820814,1.8263904251386427
tc20_buf1p5,100000000,0.1,2023,50,0.0983696729336232,0.02569823992472781,0.8848753922856177,2.53192235924511
tc20_buf1p5,100000000,0.1,2024,52,-0.00851950877305152,0.025290543638366584,0.8333806455694989,3.877129236504224
tc20_buf1p5,100000000,0.1,2025,51,0.58653570466828,0.023412895991067762,0.8013205954482173,4.701320253601203
tc20_buf1p5,100000000,0.2,2020,46,0.15816371447591515,0.02503643347240701,0.9494001259922316,1.0404332858745784
