scenario,description,max_turnover,buffer_multiplier,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,mean_actual_stock_count
tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,0.8579590696097452,0.3659113452296251,0.3447161642491763,1.167242760786688,-0.2813988692813364,-0.28987199093383575,0.9505838094291573,0.9654859061439657,0.010707573541988409,0.27042529241110014,0.25041244634044113,51.10077519379845
tc60_buf1,"max_turnover=60%, buffer=1x",0.6,1.0,0.8473342889070008,0.3632709198724562,0.34118444292009165,1.1556381147403103,-0.2785628273567737,-0.2883670467603191,0.9474779005001667,0.9643110852914734,0.0096936594529589,0.26553944285797015,0.24972977610176125,51.273163528977484
tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,0.8446190632686704,0.36560289263806894,0.34318381595853653,1.1654228202235355,-0.2861000190506781,-0.2955770225109279,0.9503605843699252,0.9652028385579501,0.01092193486097697,0.27137970913686815,0.25058612761520416,51.09560723514212
baseline,Barra Top500 -> Alpha Top50,,,0.8418923505273572,0.3697264941176004,0.34127176604729414,1.1774137828083364,-0.2699985364478259,-0.27701321415609936,0.9586498037704927,0.9633085320415893,0.014692779755126176,0.2926888005983191,0.30891346416609217,50.92321889996309
tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,0.8309920730429896,0.3591929962913118,0.33755182049417165,1.1437266264729575,-0.28559787102993545,-0.29505703023181074,0.9502980779277964,0.9651742802733225,0.010906583533792865,0.2670455962806237,0.2505813164120736,51.09486895533407
tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,0.7442361284285657,0.32435836958391406,0.3070250436542499,1.0222980745135888,-0.2957884879883576,-0.30726030916204616,0.941620172101912,0.9662400507711661,0.008184899603033044,0.26486118292088456,0.21347484348213683,51.253229974160206
tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,0.7404270120401454,0.32720082104247805,0.3106699316186734,1.0339285061942278,-0.30024686336294626,-0.31139271673083524,0.9410151188083066,0.9658081577534597,0.008310372900783548,0.2647152888629519,0.2135966363029048,51.25876707272056
tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,0.7368962851003968,0.3268358716358142,0.31098382247498146,1.0332796322782352,-0.3016760986716776,-0.31183684094589015,0.940724698924196,0.9656623575580583,0.008298943494265007,0.26324849041560466,0.2135361196869926,51.265042451088966
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,0.7348697599510785,0.31586763863771466,0.2998330852788489,0.9903889997729934,-0.29202546416912395,-0.30529451461968504,0.9413770207015337,0.9661936056192508,0.008138622306819112,0.24864458339342918,0.2130663787145971,51.240679217423406
tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0.5469170827506987,0.2750646000108669,0.2606158742789173,0.8506593230790757,-0.3492233673735227,-0.3590196625332255,0.9299649683740603,0.967499981641506,0.006429197237547706,0.2611002914510594,0.17215519434463983,51.21483942414175
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0.5433131231821593,0.27490470942165607,0.2613692024959784,0.8464338250973606,-0.35016173373417186,-0.3575134838475028,0.9294455052619619,0.9673021736203137,0.006409678503579323,0.2625230364806877,0.17203754405760927,51.22702104097453
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0.5064311008361854,0.26239190023496156,0.2504588516618076,0.8002682992574667,-0.3563228384343641,-0.36265614042398286,0.9297804204787005,0.9675500911789285,0.006300933330089086,0.2611789896658839,0.17197455710958398,51.22296050203027
tc40_buf1,"max_turnover=40%, buffer=1x",0.4,1.0,0.4779837844573136,0.24772662904911158,0.23637545014921058,0.7441948395899387,-0.353859374926423,-0.36078924482439567,0.9296298257916713,0.9675183242895637,0.006351826676654692,0.24589256631026746,0.17171277955993478,51.21668512366187
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0.40155980900589083,0.21204760364275077,0.20184232511051858,0.6212765069232931,-0.36049774852819166,-0.36944776532782375,0.9108371807501263,0.968990115344738,0.004788972843300654,0.19116300361513427,0.12871532597764895,51.23883351790329
tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0.39717665821346637,0.20403901560938234,0.19472572349437955,0.5989991658410863,-0.35578015117668615,-0.36447661913283513,0.9117956822979925,0.9692986014220976,0.00477704742849443,0.1788965460766749,0.12894189502677378,51.223698781838316
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0.37753805038938415,0.20236606636583265,0.1926527019586144,0.5902548491996912,-0.3631199914198367,-0.37211438691893794,0.9115751709403825,0.9692339910186745,0.0047911607845954295,0.18619959189422944,0.128862274097311,51.21779254337394
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,0.37341906560520144,0.20131908328314807,0.19021580182438935,0.5866047706239006,-0.3646144947366358,-0.373505295094652,0.9110905625139859,0.969139241970521,0.004780685163533014,0.17608755535473158,0.12849925570429768,51.21483942414175
