scenario,description,factor,weight
baseline_all_factors,原始全部风格因子等权,SIZE,1.0
baseline_all_factors,原始全部风格因子等权,MIDCAP,1.0
baseline_all_factors,原始全部风格因子等权,BETA,1.0
baseline_all_factors,原始全部风格因子等权,RESVOL,1.0
baseline_all_factors,原始全部风格因子等权,HISTVOL,1.0
baseline_all_factors,原始全部风格因子等权,MOMENTUM,1.0
baseline_all_factors,原始全部风格因子等权,RESMOM,1.0
baseline_all_factors,原始全部风格因子等权,BTOP,1.0
baseline_all_factors,原始全部风格因子等权,EYIELD,1.0
baseline_all_factors,原始全部风格因子等权,CFP,1.0
baseline_all_factors,原始全部风格因子等权,SP,1.0
baseline_all_factors,原始全部风格因子等权,LP,1.0
baseline_all_factors,原始全部风格因子等权,EGRO,1.0
baseline_all_factors,原始全部风格因子等权,SGRO,1.0
baseline_all_factors,原始全部风格因子等权,MLEV,1.0
baseline_all_factors,原始全部风格因子等权,BLEV,1.0
baseline_all_factors,原始全部风格因子等权,LIQUIDITY,1.0
baseline_all_factors,原始全部风格因子等权,STOM,1.0
baseline_all_factors,原始全部风格因子等权,STOQ,1.0
baseline_all_factors,原始全部风格因子等权,ROE,1.0
baseline_all_factors,原始全部风格因子等权,ROA,1.0
baseline_all_factors,原始全部风格因子等权,CAPX,1.0
baseline_all_factors,原始全部风格因子等权,AGRO,1.0
baseline_all_factors,原始全部风格因子等权,TOPSI,1.0
baseline_all_factors,原始全部风格因子等权,SEASON,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,SIZE,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,MIDCAP,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,BETA,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,RESVOL,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,HISTVOL,0.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,MOMENTUM,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,RESMOM,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,BTOP,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,EYIELD,1.0
drop_3_problem,剔除 TOPSI/STOQ/HISTVOL,CFP,1.0
