月份,交易次数,月度收益率,月度胜率
2020-02,2,3.32%,50.00%
2020-03,5,-3.94%,60.00%
2020-04,4,0.71%,50.00%
2020-05,4,6.20%,75.00%
2020-06,5,9.26%,60.00%
2020-07,4,10.61%,50.00%
2020-08,5,0.34%,60.00%
2020-09,4,-2.73%,50.00%
2020-10,4,0.14%,25.00%
2020-11,5,8.06%,80.00%
2020-12,4,2.91%,50.00%
2021-01,4,-2.60%,25.00%
2021-02,4,10.48%,75.00%
2021-03,5,3.25%,80.00%
2021-04,4,4.00%,75.00%
2021-05,5,5.12%,80.00%
2021-06,4,7.94%,100.00%
2021-07,4,9.50%,75.00%
2021-08,5,16.52%,100.00%
2021-09,4,1.80%,75.00%
2021-10,4,-1.66%,25.00%
2021-11,5,14.13%,80.00%
2021-12,4,6.28%,75.00%
2022-01,4,-4.60%,50.00%
2022-02,4,5.33%,75.00%
2022-03,4,7.60%,75.00%
2022-04,4,-11.49%,25.00%
2022-05,5,13.27%,60.00%
2022-06,4,7.30%,75.00%
2022-07,4,9.85%,75.00%
2022-08,5,-1.77%,60.00%
2022-09,4,-12.38%,25.00%
2022-10,4,12.60%,75.00%
2022-11,4,7.19%,75.00%
2022-12,4,-4.48%,50.00%
2023-01,4,10.66%,100.00%
2023-02,4,2.39%,50.00%
2023-03,4,5.91%,50.00%
2023-04,4,6.93%,50.00%
2023-05,5,1.34%,60.00%
2023-06,4,0.66%,50.00%
2023-07,5,0.52%,20.00%
2023-08,4,-4.89%,25.00%
2023-09,4,-2.26%,50.00%
2023-10,4,4.30%,50.00%
2023-11,4,2.03%,50.00%
2023-12,4,-6.05%,25.00%
2024-01,5,-27.22%,40.00%
2024-02,3,21.91%,100.00%
2024-03,4,7.95%,75.00%
2024-04,5,-3.39%,40.00%
2024-05,4,-3.25%,25.00%
2024-06,4,-8.21%,50.00%
2024-07,5,-0.72%,60.00%
2024-08,4,0.81%,75.00%
2024-09,5,45.56%,80.00%
2024-10,4,-3.67%,50.00%
2024-11,4,14.04%,75.00%
2024-12,5,-10.85%,60.00%
2025-01,4,4.22%,25.00%
2025-02,4,7.62%,75.00%
2025-03,5,-6.17%,40.00%
2025-04,4,13.99%,75.00%
2025-05,4,5.39%,75.00%
2025-06,5,4.64%,60.00%
2025-07,4,7.17%,100.00%
2025-08,4,4.88%,75.00%
2025-09,5,-0.50%,40.00%
2025-10,4,-3.07%,50.00%
2025-11,4,-1.93%,75.00%
2025-12,4,1.37%,50.00%
