月份,交易次数,月度收益率,月度胜率
2020-02,2,4.12%,50.00%
2020-03,5,-5.94%,20.00%
2020-04,4,1.77%,75.00%
2020-05,4,4.70%,75.00%
2020-06,5,6.71%,60.00%
2020-07,4,9.80%,50.00%
2020-08,5,-1.13%,40.00%
2020-09,4,-2.66%,50.00%
2020-10,4,-0.62%,25.00%
2020-11,5,7.48%,60.00%
2020-12,4,3.50%,50.00%
2021-01,4,-2.01%,25.00%
2021-02,4,8.46%,50.00%
2021-03,5,3.92%,80.00%
2021-04,4,4.21%,50.00%
2021-05,5,5.35%,100.00%
2021-06,4,6.67%,100.00%
2021-07,4,7.01%,75.00%
2021-08,5,18.64%,100.00%
2021-09,4,2.67%,50.00%
2021-10,4,0.55%,50.00%
2021-11,5,15.24%,80.00%
2021-12,4,4.06%,75.00%
2022-01,4,-6.32%,0.00%
2022-02,4,3.10%,50.00%
2022-03,4,9.14%,75.00%
2022-04,4,-10.40%,25.00%
2022-05,5,10.71%,60.00%
2022-06,4,10.19%,75.00%
2022-07,4,8.83%,75.00%
2022-08,5,-3.45%,40.00%
2022-09,4,-12.51%,25.00%
2022-10,4,11.46%,75.00%
2022-11,4,2.38%,50.00%
2022-12,4,-2.63%,50.00%
2023-01,4,9.85%,100.00%
2023-02,4,1.51%,50.00%
2023-03,4,5.25%,50.00%
2023-04,4,3.28%,50.00%
2023-05,5,1.94%,40.00%
2023-06,4,0.10%,50.00%
2023-07,5,-0.84%,20.00%
2023-08,4,-5.99%,25.00%
2023-09,4,-3.93%,25.00%
2023-10,4,3.63%,50.00%
2023-11,4,1.20%,75.00%
2023-12,4,-8.07%,25.00%
2024-01,5,-22.49%,40.00%
2024-02,3,21.60%,100.00%
2024-03,4,5.76%,75.00%
2024-04,5,-5.95%,40.00%
2024-05,4,-4.08%,25.00%
2024-06,4,-7.54%,50.00%
2024-07,5,-3.26%,60.00%
2024-08,4,-0.29%,75.00%
2024-09,5,44.00%,80.00%
2024-10,4,-3.12%,50.00%
2024-11,4,11.51%,75.00%
2024-12,5,-12.91%,40.00%
2025-01,4,3.90%,25.00%
2025-02,4,6.79%,75.00%
2025-03,5,-7.56%,40.00%
2025-04,4,10.45%,75.00%
2025-05,4,4.68%,75.00%
2025-06,5,1.95%,40.00%
2025-07,4,8.70%,100.00%
2025-08,4,8.68%,75.00%
2025-09,5,-0.54%,40.00%
2025-10,4,-2.63%,50.00%
2025-11,4,-2.90%,75.00%
2025-12,4,2.29%,75.00%
