月份,交易次数,月度收益率,月度胜率
2020-02,2,4.67%,50.00%
2020-03,5,-4.25%,60.00%
2020-04,4,-1.16%,50.00%
2020-05,4,5.51%,50.00%
2020-06,5,7.25%,60.00%
2020-07,4,7.60%,50.00%
2020-08,5,0.71%,60.00%
2020-09,4,-1.60%,50.00%
2020-10,4,0.45%,25.00%
2020-11,5,7.92%,80.00%
2020-12,4,2.11%,50.00%
2021-01,4,-2.96%,25.00%
2021-02,4,9.03%,75.00%
2021-03,5,4.71%,80.00%
2021-04,4,3.05%,50.00%
2021-05,5,5.14%,80.00%
2021-06,4,7.18%,100.00%
2021-07,4,7.50%,75.00%
2021-08,5,12.70%,100.00%
2021-09,4,2.86%,50.00%
2021-10,4,-0.18%,50.00%
2021-11,5,11.37%,80.00%
2021-12,4,8.99%,100.00%
2022-01,4,-6.95%,25.00%
2022-02,4,3.79%,50.00%
2022-03,4,4.73%,75.00%
2022-04,4,-8.70%,50.00%
2022-05,5,11.51%,60.00%
2022-06,4,7.08%,75.00%
2022-07,4,8.89%,75.00%
2022-08,5,-0.04%,40.00%
2022-09,4,-10.40%,25.00%
2022-10,4,12.11%,75.00%
2022-11,4,2.32%,50.00%
2022-12,4,-3.54%,25.00%
2023-01,4,9.19%,100.00%
2023-02,4,1.65%,50.00%
2023-03,4,2.97%,50.00%
2023-04,4,5.58%,50.00%
2023-05,5,1.65%,60.00%
2023-06,4,-1.53%,50.00%
2023-07,5,1.01%,40.00%
2023-08,4,-5.18%,25.00%
2023-09,4,-2.32%,25.00%
2023-10,4,3.31%,50.00%
2023-11,4,5.15%,75.00%
2023-12,4,-4.41%,25.00%
2024-01,5,-23.12%,40.00%
2024-02,3,23.81%,100.00%
2024-03,4,7.23%,75.00%
2024-04,5,-0.63%,40.00%
2024-05,4,-5.73%,25.00%
2024-06,4,-8.74%,25.00%
2024-07,5,-0.70%,40.00%
2024-08,4,2.10%,75.00%
2024-09,5,44.88%,80.00%
2024-10,4,-3.57%,50.00%
2024-11,4,15.71%,75.00%
2024-12,5,-10.37%,60.00%
2025-01,4,3.21%,25.00%
2025-02,4,6.39%,75.00%
2025-03,5,-7.30%,40.00%
2025-04,4,16.97%,75.00%
2025-05,4,2.91%,50.00%
2025-06,5,5.25%,40.00%
2025-07,4,9.91%,100.00%
2025-08,4,6.18%,75.00%
2025-09,5,-0.87%,20.00%
2025-10,4,-0.97%,50.00%
2025-11,4,-0.86%,75.00%
2025-12,4,0.81%,50.00%
