月份,交易次数,月度收益率,月度胜率
2020-02,2,3.47%,50.00%
2020-03,5,-2.55%,60.00%
2020-04,4,-0.36%,50.00%
2020-05,4,6.42%,75.00%
2020-06,5,8.54%,60.00%
2020-07,4,8.01%,50.00%
2020-08,5,1.41%,60.00%
2020-09,4,-1.93%,50.00%
2020-10,4,0.44%,25.00%
2020-11,5,9.10%,80.00%
2020-12,4,2.90%,50.00%
2021-01,4,-1.69%,25.00%
2021-02,4,8.18%,75.00%
2021-03,5,4.56%,80.00%
2021-04,4,1.59%,50.00%
2021-05,5,4.61%,80.00%
2021-06,4,6.41%,100.00%
2021-07,4,10.82%,100.00%
2021-08,5,15.26%,100.00%
2021-09,4,2.81%,75.00%
2021-10,4,-0.78%,50.00%
2021-11,5,13.54%,80.00%
2021-12,4,9.14%,100.00%
2022-01,4,-7.04%,25.00%
2022-02,4,4.88%,50.00%
2022-03,4,2.44%,75.00%
2022-04,4,-8.00%,50.00%
2022-05,5,11.71%,60.00%
2022-06,4,7.53%,75.00%
2022-07,4,6.59%,75.00%
2022-08,5,0.35%,40.00%
2022-09,4,-10.16%,25.00%
2022-10,4,10.99%,75.00%
2022-11,4,1.17%,50.00%
2022-12,4,-3.99%,25.00%
2023-01,4,8.30%,100.00%
2023-02,4,1.70%,50.00%
2023-03,4,2.62%,50.00%
2023-04,4,5.32%,50.00%
2023-05,5,1.29%,40.00%
2023-06,4,-2.13%,25.00%
2023-07,5,0.07%,40.00%
2023-08,4,-3.84%,25.00%
2023-09,4,-1.72%,50.00%
2023-10,4,2.11%,50.00%
2023-11,4,4.34%,75.00%
2023-12,4,-3.18%,25.00%
2024-01,5,-22.78%,40.00%
2024-02,3,24.19%,100.00%
2024-03,4,8.22%,75.00%
2024-04,5,-1.77%,40.00%
2024-05,4,-5.82%,25.00%
2024-06,4,-8.45%,25.00%
2024-07,5,-0.54%,40.00%
2024-08,4,0.72%,75.00%
2024-09,5,46.57%,80.00%
2024-10,4,-3.63%,50.00%
2024-11,4,15.04%,75.00%
2024-12,5,-11.14%,60.00%
2025-01,4,3.50%,25.00%
2025-02,4,6.63%,75.00%
2025-03,5,-5.77%,40.00%
2025-04,4,15.93%,75.00%
2025-05,4,3.27%,50.00%
2025-06,5,6.03%,40.00%
2025-07,4,10.02%,100.00%
2025-08,4,10.26%,75.00%
2025-09,5,-1.32%,20.00%
2025-10,4,-0.23%,50.00%
2025-11,4,-0.98%,75.00%
2025-12,4,0.66%,75.00%
