date,signal_date,next_date,return,num_stocks,turnover,pre_candidate_pool_size,selected_codes
2020-02-17,2020-02-14,2020-02-24,0.1025274657064681,100,0.0,500,"['300037.SZ', '002792.SZ', '002023.SZ', '300590.SZ', '603596.SH', '300699.SZ', '000516.SZ', '603881.SH', '002369.SZ', '000931.SZ', '300674.SZ', '002859.SZ', '002851.SZ', '000710.SZ', '002579.SZ', '002618.SZ', '300568.SZ', '002474.SZ', '300634.SZ', '300725.SZ', '300429.SZ', '002421.SZ', '603712.SH', '300630.SZ', '300676.SZ', '002063.SZ', '300298.SZ', '300735.SZ', '002389.SZ', '002847.SZ', '300357.SZ', '002106.SZ', '002920.SZ', '300602.SZ', '300009.SZ', '300497.SZ', '603936.SH', '300232.SZ', '600478.SH', '002276.SZ', '300570.SZ', '601615.SH', '002288.SZ', '300623.SZ', '300229.SZ', '002151.SZ', '603127.SH', '603305.SH', '000823.SZ', '300657.SZ', '000813.SZ', '300666.SZ', '002124.SZ', '002912.SZ', '300456.SZ', '002733.SZ', '603060.SH', '300170.SZ', '300751.SZ', '002139.SZ', '002567.SZ', '000735.SZ', '002222.SZ', '603043.SH', '300054.SZ', '300101.SZ', '603718.SH', '300603.SZ', '002055.SZ', '300448.SZ', '300523.SZ', '002446.SZ', '300672.SZ', '300386.SZ', '300682.SZ', '300679.SZ', '603220.SH', '002783.SZ', '300770.SZ', '300131.SZ', '300685.SZ', '600707.SH', '300401.SZ', '002484.SZ', '300573.SZ', '300079.SZ', '300352.SZ', '300183.SZ', '603068.SH', '300474.SZ', '002332.SZ', '300527.SZ', '300292.SZ', '603516.SH', '002364.SZ', '300365.SZ', '600523.SH', '300081.SZ', '300252.SZ', '600602.SH']"
2020-02-24,2020-02-21,2020-03-02,-0.055647615769706366,100,0.5,500,"['002792.SZ', '000516.SZ', '002474.SZ', '300568.SZ', '300170.SZ', '300037.SZ', '002151.SZ', '603881.SH', '300365.SZ', '002063.SZ', '002389.SZ', '300770.SZ', '002618.SZ', '300751.SZ', '600478.SH', '002276.SZ', '000931.SZ', '002579.SZ', '300657.SZ', '002859.SZ', '300101.SZ', '002364.SZ', '300456.SZ', '300674.SZ', '000710.SZ', '002421.SZ', '300666.SZ', '600602.SH', '300672.SZ', '603068.SH', '300229.SZ', '300523.SZ', '300634.SZ', '600523.SH', '300298.SZ', '603936.SH', '300630.SZ', '002222.SZ', '601615.SH', '002106.SZ', '300725.SZ', '300448.SZ', '300685.SZ', '002920.SZ', '300590.SZ', '603220.SH', '300429.SZ', '603712.SH', '002446.SZ', '002851.SZ', '002313.SZ', '300520.SZ', '300633.SZ', '603033.SH', '603636.SH', '600876.SH', '300047.SZ', '603876.SH', '300525.SZ', '000561.SZ', '600184.SH', '000697.SZ', '000802.SZ', '002876.SZ', '300031.SZ', '000547.SZ', '300604.SZ', '300098.SZ', '300149.SZ', '600151.SH', '300367.SZ', '600936.SH', '300027.SZ', '600601.SH', '600771.SH', '002331.SZ', '600480.SH', '600990.SH', '603218.SH', '002376.SZ', '000738.SZ', '300065.SZ', '300035.SZ', '600756.SH', '600207.SH', '600855.SH', '300368.SZ', '002279.SZ', '600435.SH', '300199.SZ', '000851.SZ', '002115.SZ', '002104.SZ', '603606.SH', '601929.SH', '300376.SZ', '002528.SZ', '300438.SZ', '600825.SH', '600645.SH']"
2020-03-02,2020-02-28,2020-03-09,-0.002531997146178803,100,0.5,500,"['002313.SZ', '603876.SH', '000516.SZ', '600480.SH', '300568.SZ', '300674.SZ', '603636.SH', '600876.SH', '300633.SZ', '300657.SZ', '601929.SH', '300199.SZ', '601615.SH', '600771.SH', '600936.SH', '600151.SH', '300368.SZ', '300725.SZ', '002106.SZ', '002618.SZ', '300525.SZ', '300630.SZ', '002389.SZ', '002876.SZ', '002331.SZ', '603220.SH', '300047.SZ', '002851.SZ', '002421.SZ', '002376.SZ', '603606.SH', '300751.SZ', '300770.SZ', '300149.SZ', '300298.SZ', '000802.SZ', '600478.SH', '603218.SH', '000931.SZ', '000710.SZ', '300604.SZ', '300634.SZ', '300031.SZ', '600990.SH', '002528.SZ', '300520.SZ', '000697.SZ', '300170.SZ', '300523.SZ', '300101.SZ', '002567.SZ', '600973.SH', '603618.SH', '600502.SH', '002034.SZ', '600581.SH', '603421.SH', '601858.SH', '601789.SH', '600230.SH', '000665.SZ', '002060.SZ', '603043.SH', '000550.SZ', '603660.SH', '300068.SZ', '600888.SH', '600537.SH', '600996.SH', '603368.SH', '603959.SH', '600765.SH', '300140.SZ', '600707.SH', '300355.SZ', '603987.SH', '000597.SZ', '600577.SH', '600685.SH', '300252.SZ', '600879.SH', '002335.SZ', '300440.SZ', '600552.SH', '002288.SZ', '600055.SH', '600986.SH', '300571.SZ', '603127.SH', '002661.SZ', '002028.SZ', '300401.SZ', '300185.SZ', '300102.SZ', '600626.SH', '002023.SZ', '300232.SZ', '600312.SH', '600742.SH', '300497.SZ']"
2020-03-09,2020-03-06,2020-03-16,-0.05514335520786506,100,0.5,500,"['603618.SH', '002331.SZ', '002313.SZ', '600480.SH', '002567.SZ', '300725.SZ', '600888.SH', '002661.SZ', '600537.SH', '600151.SH', '603636.SH', '603218.SH', '002851.SZ', '300140.SZ', '300630.SZ', '603606.SH', '600502.SH', '000665.SZ', '002618.SZ', '300047.SZ', '002528.SZ', '600990.SH', '601929.SH', '000697.SZ', '600581.SH', '300368.SZ', '600742.SH', '300149.SZ', '000931.SZ', '300102.SZ', '300440.SZ', '300497.SZ', '300170.SZ', '300401.SZ', '300520.SZ', '300634.SZ', '000802.SZ', '300633.SZ', '600876.SH', '000710.SZ', '600230.SH', '603876.SH', '600765.SH', '300101.SZ', '600996.SH', '600973.SH', '300657.SZ', '600577.SH', '002421.SZ', '300525.SZ', '002300.SZ', '600345.SH', '300414.SZ', '603333.SH', '000025.SZ', '000796.SZ', '600268.SH', '300423.SZ', '002346.SZ', '000682.SZ', '300365.SZ', '600855.SH', '600468.SH', '002090.SZ', '002322.SZ', '600133.SH', '002488.SZ', '002548.SZ', '002124.SZ', '300332.SZ', '600108.SH', '600088.SH', '300376.SZ', '000561.SZ', '002189.SZ', '002706.SZ', '601890.SH', '002168.SZ', '000851.SZ', '603306.SH', '000529.SZ', '002063.SZ', '000639.SZ', '002222.SZ', '600975.SH', '600713.SH', '603387.SH', '002121.SZ', '002364.SZ', '002645.SZ', '002474.SZ', '603990.SH', '300406.SZ', '600195.SH', '002181.SZ', '002491.SZ', '300367.SZ', '600391.SH', '002232.SZ', '300653.SZ']"
2020-03-16,2020-03-13,2020-03-23,-0.03456407204102444,100,0.5,500,"['600855.SH', '600151.SH', '000561.SZ', '300332.SZ', '600990.SH', '002331.SZ', '002346.SZ', '600888.SH', '000697.SZ', '600468.SH', '002121.SZ', '601929.SH', '600268.SH', '300149.SZ', '603333.SH', '601890.SH', '002618.SZ', '002548.SZ', '600975.SH', '600391.SH', '600480.SH', '600230.SH', '002474.SZ', '002322.SZ', '002528.SZ', '300101.SZ', '002090.SZ', '000025.SZ', '300414.SZ', '600108.SH', '002661.SZ', '002124.SZ', '603618.SH', '300633.SZ', '002300.SZ', '002488.SZ', '002181.SZ', '002421.SZ', '603306.SH', '600765.SH', '300368.SZ', '300440.SZ', '300140.SZ', '002567.SZ', '002232.SZ', '600345.SH', '603990.SH', '000665.SZ', '300367.SZ', '600502.SH', '600601.SH', '300199.SZ', '300189.SZ', '600207.SH', '002284.SZ', '603777.SH', '600478.SH', '300002.SZ', '600416.SH', '300027.SZ', '000150.SZ', '000516.SZ', '300323.SZ', '600562.SH', '600525.SH', '600198.SH', '601126.SH', '300185.SZ', '600343.SH', '600316.SH', '002644.SZ', '300663.SZ', '300077.SZ', '600435.SH', '002270.SZ', '300516.SZ', '600676.SH', '000532.SZ', '600117.SH', '300065.SZ', '600756.SH', '002218.SZ', '300477.SZ', '600293.SH', '300159.SZ', '002829.SZ', '600707.SH', '600764.SH', '000793.SZ', '300143.SZ', '002662.SZ', '600158.SH', '002665.SZ', '300304.SZ', '002309.SZ', '300128.SZ', '600685.SH', '002358.SZ', '600664.SH', '600523.SH']"
2020-03-23,2020-03-20,2020-03-30,-0.003968342267550028,100,0.5,500,"['002567.SZ', '300143.SZ', '002548.SZ', '002644.SZ', '601890.SH', '002331.SZ', '300440.SZ', '300414.SZ', '600345.SH', '000561.SZ', '002232.SZ', '600975.SH', '002474.SZ', '300128.SZ', '300189.SZ', '600268.SH', '603306.SH', '600293.SH', '600468.SH', '000532.SZ', '300516.SZ', '601126.SH', '002121.SZ', '600756.SH', '600502.SH', '002270.SZ', '300199.SZ', '002090.SZ', '002488.SZ', '603618.SH', '300077.SZ', '002300.SZ', '002661.SZ', '600855.SH', '300663.SZ', '000150.SZ', '603333.SH', '600664.SH', '002618.SZ', '300002.SZ', '600158.SH', '300101.SZ', '002322.SZ', '002421.SZ', '300368.SZ', '000025.SZ', '600888.SH', '000697.SZ', '600523.SH', '600480.SH', '600620.SH', '002750.SZ', '002476.SZ', '300261.SZ', '002167.SZ', '002313.SZ', '600800.SH', '002650.SZ', '300138.SZ', '000836.SZ', '002060.SZ', '600876.SH', '600581.SH', '000859.SZ', '600626.SH', '300365.SZ', '600713.SH', '300011.SZ', '002106.SZ', '603528.SH', '000639.SZ', '002246.SZ', '002782.SZ', '600550.SH', '600211.SH', '000796.SZ', '002063.SZ', '300215.SZ', '300047.SZ', '002950.SZ', '000903.SZ', '000922.SZ', '600088.SH', '600055.SH', '000813.SZ', '603590.SH', '002462.SZ', '002017.SZ', '300204.SZ', '000615.SZ', '300170.SZ', '300043.SZ', '600594.SH', '300110.SZ', '600965.SH', '000597.SZ', '002288.SZ', '000915.SZ', '300079.SZ', '002279.SZ']"
2020-03-30,2020-03-27,2020-04-07,0.037908418317341354,100,0.5,500,"['603333.SH', '002300.SZ', '002644.SZ', '002270.SZ', '300138.SZ', '002322.SZ', '002246.SZ', '603306.SH', '300440.SZ', '002661.SZ', '600965.SH', '600055.SH', '300215.SZ', '600211.SH', '000025.SZ', '002331.SZ', '600345.SH', '002567.SZ', '300414.SZ', '002650.SZ', '603618.SH', '300143.SZ', '002548.SZ', '300043.SZ', '600268.SH', '002950.SZ', '300189.SZ', '600664.SH', '000915.SZ', '600594.SH', '300110.SZ', '000597.SZ', '000813.SZ', '603528.SH', '300199.SZ', '002106.SZ', '002750.SZ', '600088.SH', '002421.SZ', '002782.SZ', '300368.SZ', '601126.SH', '600975.SH', '000561.SZ', '600468.SH', '600581.SH', '002090.SZ', '002121.SZ', '002618.SZ', '600480.SH', '000529.SZ', '002412.SZ', '300630.SZ', '603108.SH', '603987.SH', '002706.SZ', '000403.SZ', '603127.SH', '300233.SZ', '603043.SH', '603606.SH', '600054.SH', '300039.SZ', '300766.SZ', '603886.SH', '300725.SZ', '002287.SZ', '000710.SZ', '600557.SH', '300633.SZ', '300685.SZ', '300527.SZ', '300571.SZ', '300140.SZ', '002020.SZ', '300596.SZ', '603516.SH', '600382.SH', '600993.SH', '300381.SZ', '002737.SZ', '300401.SZ', '300174.SZ', '300016.SZ', '000682.SZ', '002262.SZ', '300761.SZ', '603609.SH', '300495.SZ', '300206.SZ', '002645.SZ', '002022.SZ', '300238.SZ', '002581.SZ', '002266.SZ', '300137.SZ', '002679.SZ', '300702.SZ', '300481.SZ', '600479.SH']"
2020-04-07,2020-04-03,2020-04-13,0.0022983292409736165,100,0.5,500,"['603043.SH', '300630.SZ', '300633.SZ', '603127.SH', '000710.SZ', '600557.SH', '603987.SH', '300138.SZ', '300725.SZ', '603886.SH', '300685.SZ', '300761.SZ', '300381.SZ', '002020.SZ', '300401.SZ', '002412.SZ', '000915.SZ', '002644.SZ', '603516.SH', '002661.SZ', '603333.SH', '603609.SH', '300233.SZ', '002262.SZ', '000025.SZ', '000403.SZ', '600965.SH', '002022.SZ', '600993.SH', '002300.SZ', '000529.SZ', '300481.SZ', '600211.SH', '603108.SH', '002737.SZ', '300199.SZ', '002782.SZ', '300039.SZ', '300702.SZ', '300016.SZ', '300215.SZ', '603528.SH', '000597.SZ', '000813.SZ', '300368.SZ', '002618.SZ', '600664.SH', '600055.SH', '601126.SH', '002246.SZ', '002840.SZ', '601020.SH', '603919.SH', '002507.SZ', '300676.SZ', '603997.SH', '002734.SZ', '300559.SZ', '002732.SZ', '603027.SH', '300298.SZ', '000516.SZ', '300357.SZ', '002043.SZ', '300602.SZ', '002859.SZ', '300595.SZ', '002847.SZ', '600529.SH', '300568.SZ', '000045.SZ', '300759.SZ', '300026.SZ', '002925.SZ', '600197.SH', '300009.SZ', '300482.SZ', '000848.SZ', '300558.SZ', '603737.SH', '603727.SH', '002726.SZ', '300463.SZ', '300149.SZ', '300737.SZ', '002372.SZ', '002643.SZ', '600771.SH', '300770.SZ', '002294.SZ', '600597.SH', '300735.SZ', '002233.SZ', '603883.SH', '002038.SZ', '603387.SH', '002675.SZ', '002461.SZ', '300741.SZ', '603605.SH']"
2020-04-13,2020-04-10,2020-04-20,0.027273845151368468,100,0.49,500,"['300138.SZ', '002661.SZ', '603919.SH', '002300.SZ', '300381.SZ', '002644.SZ', '002840.SZ', '600211.SH', '002737.SZ', '600965.SH', '600197.SH', '002043.SZ', '300039.SZ', '002022.SZ', '600557.SH', '000848.SZ', '300630.SZ', '603043.SH', '603886.SH', '300481.SZ', '300761.SZ', '002507.SZ', '601126.SH', '002925.SZ', '603027.SH', '600664.SH', '002294.SZ', '002038.SZ', '000025.SZ', '300676.SZ', '000813.SZ', '600597.SH', '603516.SH', '000403.SZ', '002859.SZ', '300633.SZ', '300233.SZ', '300725.SZ', '300357.SZ', '300149.SZ', '300401.SZ', '300685.SZ', '002372.SZ', '300595.SZ', '603883.SH', '600993.SH', '603987.SH', '002262.SZ', '603108.SH', '603127.SH', '300482.SZ', '600531.SH', '600713.SH', '000788.SZ', '600613.SH', '600251.SH', '002582.SZ', '002589.SZ', '300258.SZ', '600090.SH', '603399.SH', '600750.SH', '000028.SZ', '000829.SZ', '000930.SZ', '002309.SZ', '002219.SZ', '603123.SH', '600973.SH', '000059.SZ', '000049.SZ', '000615.SZ', '000989.SZ', '600710.SH', '300127.SZ', '000935.SZ', '002741.SZ', '002221.SZ', '600594.SH', '600335.SH', '603299.SH', '002818.SZ', '002222.SZ', '600351.SH', '600420.SH', '002556.SZ', '600563.SH', '002695.SZ', '000523.SZ', '002302.SZ', '000550.SZ', '000078.SZ', '000789.SZ', '600329.SH', '600566.SH', '600062.SH', '600873.SH', '300131.SZ', '600129.SH', '000739.SZ']"
2020-04-20,2020-04-17,2020-04-27,-0.024393455932664187,100,0.5,500,"['603043.SH', '300761.SZ', '300630.SZ', '603516.SH', '002043.SZ', '002741.SZ', '002925.SZ', '002840.SZ', '300633.SZ', '603987.SH', '300131.SZ', '002507.SZ', '300725.SZ', '300138.SZ', '300481.SZ', '300401.SZ', '603919.SH', '300357.SZ', '300482.SZ', '600197.SH', '603127.SH', '603027.SH', '300381.SZ', '000403.SZ', '002661.SZ', '002582.SZ', '300595.SZ', '000049.SZ', '000025.SZ', '000848.SZ', '000788.SZ', '300685.SZ', '002022.SZ', '000935.SZ', '600563.SH', '300149.SZ', '000739.SZ', '600211.SH', '002222.SZ', '600335.SH', '002262.SZ', '002372.SZ', '300676.SZ', '600664.SH', '002695.SZ', '002038.SZ', '300127.SZ', '000930.SZ', '600597.SH', '002300.SZ', '300602.SZ', '300735.SZ', '300737.SZ', '002369.SZ', '300568.SZ', '603078.SH', '300398.SZ', '002335.SZ', '002950.SZ', '002643.SZ', '603133.SH', '300666.SZ', '002734.SZ', '300429.SZ', '603456.SH', '603997.SH', '300393.SZ', '300623.SZ', '300759.SZ', '300487.SZ', '603138.SH', '600171.SH', '300331.SZ', '300346.SZ', '300053.SZ', '601020.SH', '300438.SZ', '600360.SH', '300624.SZ', '002920.SZ', '300657.SZ', '000931.SZ', '300525.SZ', '300319.SZ', '300252.SZ', '000516.SZ', '300653.SZ', '300303.SZ', '002596.SZ', '600206.SH', '300627.SZ', '000735.SZ', '300363.SZ', '300497.SZ', '300520.SZ', '002223.SZ', '603596.SH', '002568.SZ', '603605.SH', '600195.SH']"
