date,signal_date,next_date,return,num_stocks,turnover,pre_candidate_pool_size,selected_codes
2020-02-17,2020-02-14,2020-02-24,0.09531163970149834,50,0.0,,"['300777.SZ', '603138.SH', '300775.SZ', '300766.SZ', '002891.SZ', '300691.SZ', '300561.SZ', '300609.SZ', '603103.SH', '300627.SZ', '300726.SZ', '603185.SH', '300708.SZ', '300776.SZ', '603218.SH', '300773.SZ', '002937.SZ', '603327.SH', '300788.SZ', '300634.SZ', '002474.SZ', '603595.SH', '002913.SZ', '300765.SZ', '002897.SZ', '002567.SZ', '002920.SZ', '002901.SZ', '603078.SH', '002389.SZ', '603133.SH', '603711.SH', '300497.SZ', '002421.SZ', '603279.SH', '603127.SH', '002023.SZ', '300298.SZ', '002288.SZ', '300657.SZ', '000931.SZ', '603712.SH', '300725.SZ', '603305.SH', '002369.SZ', '300568.SZ', '300229.SZ', '603687.SH', '300570.SZ', '300219.SZ']"
2020-02-24,2020-02-21,2020-03-02,-0.057280909191815645,50,0.56,,"['300777.SZ', '300775.SZ', '300766.SZ', '603103.SH', '002935.SZ', '300691.SZ', '300687.SZ', '603185.SH', '300609.SZ', '000561.SZ', '300673.SZ', '300788.SZ', '300367.SZ', '600184.SH', '002331.SZ', '002897.SZ', '000697.SZ', '300047.SZ', '002891.SZ', '603121.SH', '002929.SZ', '603595.SH', '600990.SH', '002474.SZ', '002913.SZ', '300365.SZ', '603279.SH', '603179.SH', '300101.SZ', '300525.SZ', '300634.SZ', '603133.SH', '300520.SZ', '603711.SH', '603078.SH', '002389.SZ', '002741.SZ', '002906.SZ', '603687.SH', '300568.SZ', '603915.SH', '603676.SH', '603603.SH', '002421.SZ', '002364.SZ', '300751.SZ', '002151.SZ', '603612.SH', '002876.SZ', '300740.SZ']"
2020-03-02,2020-02-28,2020-03-09,0.021257284441441916,50,0.84,,"['300424.SZ', '603185.SH', '603179.SH', '603618.SH', '002300.SZ', '600207.SH', '300673.SZ', '300178.SZ', '603225.SH', '002891.SZ', '300568.SZ', '603603.SH', '000599.SZ', '002845.SZ', '600973.SH', '603612.SH', '002707.SZ', '300094.SZ', '002015.SZ', '300657.SZ', '300422.SZ', '002370.SZ', '600686.SH', '603030.SH', '002562.SZ', '300199.SZ', '600713.SH', '603180.SH', '300740.SZ', '603636.SH', '300143.SZ', '000950.SZ', '600581.SH', '300633.SZ', '000665.SZ', '600691.SH', '600133.SH', '002034.SZ', '601929.SH', '002060.SZ', '000796.SZ', '600230.SH', '603680.SH', '002840.SZ', '600569.SH', '603105.SH', '600502.SH', '002567.SZ', '600480.SH', '603033.SH']"
2020-03-09,2020-03-06,2020-03-16,-0.058619499155456986,50,0.84,,"['300776.SZ', '300673.SZ', '002852.SZ', '300766.SZ', '300065.SZ', '300423.SZ', '300609.SZ', '603297.SH', '000576.SZ', '002090.SZ', '600207.SH', '603333.SH', '002300.SZ', '002331.SZ', '603618.SH', '600855.SH', '600268.SH', '002346.SZ', '002322.SZ', '600468.SH', '603528.SH', '002951.SZ', '300662.SZ', '300365.SZ', '002661.SZ', '000893.SZ', '000682.SZ', '300575.SZ', '603896.SH', '603458.SH', '300765.SZ', '603848.SH', '300414.SZ', '002782.SZ', '002749.SZ', '300783.SZ', '300067.SZ', '002567.SZ', '600345.SH', '300506.SZ', '600199.SH', '603997.SH', '603359.SH', '300531.SZ', '002488.SZ', '300725.SZ', '000796.SZ', '002562.SZ', '600480.SH', '603060.SH']"
2020-03-16,2020-03-13,2020-03-23,-0.02322496758953026,20,0.96,,"['600467.SH', '000561.SZ', '300011.SZ', '600855.SH', '300199.SZ', '600199.SH', '000615.SZ', '600283.SH', '600818.SH', '600151.SH', '600601.SH', '603063.SH', '300332.SZ', '002046.SZ', '300125.SZ', '000558.SZ', '000801.SZ', '300208.SZ', '600890.SH', '601008.SH']"
2020-03-23,2020-03-20,2020-03-30,0.028841801689026142,16,0.85,,"['300673.SZ', '600818.SH', '300067.SZ', '600387.SH', '300198.SZ', '002567.SZ', '002634.SZ', '002769.SZ', '600620.SH', '300332.SZ', '300125.SZ', '300201.SZ', '600279.SH', '002485.SZ', '600693.SH', '002761.SZ']"
2020-03-30,2020-03-27,2020-04-07,0.024885872492141588,38,0.875,,"['002892.SZ', '603333.SH', '002900.SZ', '300723.SZ', '300642.SZ', '002300.SZ', '600613.SH', '300291.SZ', '000788.SZ', '300662.SZ', '002412.SZ', '000529.SZ', '300559.SZ', '002644.SZ', '603987.SH', '600530.SH', '603108.SH', '600593.SH', '002749.SZ', '002732.SZ', '300067.SZ', '603058.SH', '603060.SH', '300151.SZ', '300630.SZ', '002840.SZ', '603214.SH', '601020.SH', '002634.SZ', '603801.SH', '000795.SZ', '603639.SH', '002043.SZ', '603557.SH', '603600.SH', '603898.SH', '000520.SZ', '600794.SH']"
2020-04-07,2020-04-03,2020-04-13,0.008271782781453569,50,0.6052631578947368,,"['600530.SH', '002907.SZ', '002732.SZ', '603043.SH', '002900.SZ', '300583.SZ', '603896.SH', '603886.SH', '002755.SZ', '300723.SZ', '002840.SZ', '300642.SZ', '603919.SH', '002847.SZ', '000788.SZ', '002412.SZ', '603987.SH', '300381.SZ', '300633.SZ', '002043.SZ', '000045.SZ', '603127.SH', '000915.SZ', '300298.SZ', '300685.SZ', '002891.SZ', '002020.SZ', '300401.SZ', '002859.SZ', '600557.SH', '300725.SZ', '300138.SZ', '603027.SH', '000516.SZ', '000710.SZ', '300258.SZ', '300026.SZ', '603277.SH', '002287.SZ', '603058.SH', '603214.SH', '300761.SZ', '300630.SZ', '300595.SZ', '002925.SZ', '603181.SH', '603801.SH', '600822.SH', '300151.SZ', '300759.SZ']"
2020-04-13,2020-04-10,2020-04-20,0.019910873821299,50,0.72,,"['600530.SH', '002732.SZ', '002582.SZ', '002840.SZ', '002900.SZ', '603896.SH', '603919.SH', '600613.SH', '000788.SZ', '600713.SH', '002644.SZ', '300381.SZ', '600211.SH', '002891.SZ', '300473.SZ', '002589.SZ', '002737.SZ', '300138.SZ', '603214.SH', '603586.SH', '603788.SH', '603058.SH', '601366.SH', '600251.SH', '002287.SZ', '002661.SZ', '300575.SZ', '300151.SZ', '000751.SZ', '002749.SZ', '002833.SZ', '603871.SH', '002300.SZ', '600135.SH', '000612.SZ', '000759.SZ', '000521.SZ', '600531.SH', '600278.SH', '603416.SH', '002634.SZ', '603585.SH', '603377.SH', '603600.SH', '603203.SH', '603579.SH', '601968.SH', '300662.SZ', '002228.SZ', '002397.SZ']"
2020-04-20,2020-04-17,2020-04-27,-0.03724050170367614,50,0.92,,"['603103.SH', '603711.SH', '002881.SZ', '002937.SZ', '002732.SZ', '603327.SH', '603043.SH', '603297.SH', '002907.SZ', '002955.SZ', '002840.SZ', '300642.SZ', '300632.SZ', '300785.SZ', '603773.SH', '002901.SZ', '002845.SZ', '603348.SH', '300604.SZ', '002043.SZ', '603987.SH', '300737.SZ', '002741.SZ', '002892.SZ', '603133.SH', '603078.SH', '300331.SZ', '603687.SH', '300725.SZ', '300131.SZ', '300735.SZ', '002950.SZ', '300438.SZ', '300666.SZ', '603978.SH', '603733.SH', '300429.SZ', '300138.SZ', '002369.SZ', '603180.SH', '603305.SH', '300633.SZ', '603728.SH', '300777.SZ', '300691.SZ', '300775.SZ', '300761.SZ', '603214.SH', '300630.SZ', '300053.SZ']"
