bucket_factor,bucket,periods,avg_bucket_weight,total_actual_contribution,total_style_contribution,total_residual_contribution,avg_residual_contribution,pct_of_bucket_factor_residual
BETA,Q1低暴露,256,0.18917570153061225,0.3797252548660642,0.03790150151926832,0.34182375334679593,0.0013352490365109216,0.17866747648493111
BETA,Q2,294,0.22003644314868806,0.3936939997006942,0.13162871215566824,0.26206528754502595,0.0008913785290647141,0.13697861292999147
BETA,Q3,299,0.14747036607285052,0.29231482748652854,0.08954880907976169,0.20276601840676686,0.0006781472187517287,0.10598354406599551
BETA,Q4,300,0.23754506802721087,0.7164441784156397,0.22693203376448673,0.4895121446511529,0.0016317071488371763,0.2558625570552903
BETA,Q5高暴露,275,0.26372053184910327,0.978149407937638,0.36113263418886704,0.617016773748771,0.0022436973590864396,0.3225078094637917
LIQUIDITY,Q1低暴露,273,0.1409734992898258,0.3249207769868092,0.1371225060674703,0.1877982709193389,0.0006879057542832927,0.09816006882163684
LIQUIDITY,Q2,299,0.21069045343890064,0.5405364930179413,0.26694433999020084,0.2735921530277404,0.0009150239231697005,0.1430035773960753
LIQUIDITY,Q3,301,0.2550352001265622,0.8077700710692935,0.3444893953275523,0.46328067574174125,0.0015391384576137583,0.24215165982053136
LIQUIDITY,Q4,300,0.2576743197278912,0.688916205214316,0.2053142608801048,0.48360194433421116,0.0016120064811140373,0.25277336104181986
LIQUIDITY,Q5高暴露,292,0.1556503354766564,0.39818412211820464,-0.10672681155727619,0.5049109336754808,0.0017291470331352082,0.2639113329199367
RESVOL,Q1低暴露,284,0.183121886078375,0.4110189857775262,0.14288410714236757,0.2681348786351586,0.0009441368966026712,0.14015112072897173
RESVOL,Q2,301,0.23606413994169098,0.5882517195420337,0.23456761597318698,0.3536841035688467,0.0011750302444147732,0.18486674971756517
RESVOL,Q3,301,0.1734102877031211,0.4367075176011842,0.10751831877119657,0.32918919882998765,0.0010936518233554406,0.17206353527274973
RESVOL,Q4,301,0.24472642213031393,0.7408885755247141,0.20522657926800883,0.5356619962567053,0.0017796079609857319,0.2799845715314249
RESVOL,Q5高暴露,282,0.1846770516717325,0.5834608699611065,0.15694706955329213,0.4265138004078144,0.0015124602851340936,0.22293402274928845
SIZE,Q1低暴露,137,0.058022741943492724,0.18677191719480513,0.035064470291987886,0.15170744690281723,0.001107353627027863,0.07929579625965481
SIZE,Q2,296,0.3837302927927928,1.024173274244967,0.5139346060959061,0.5102386681490607,0.0017237792842873672,0.26669608051122107
SIZE,Q3,301,0.3389428661830181,0.8219203338390066,0.2618389318275338,0.5600814020114728,0.0018607355548553915,0.292748323496431
SIZE,Q4,286,0.21148571666428811,0.6448261516985361,0.03533447650551868,0.6094916751930175,0.0021310897734021592,0.3185745240905753
SIZE,Q5高暴露,207,0.08193236714975846,0.08263599142924984,0.00097120598710548,0.08166478544214437,0.0003945158717011805,0.0426852756421178
