component,description,total_contribution,pct_of_strategy_arithmetic,avg_weekly_return,positive_rate
STYLE_TOTAL,风格因子解释部分,1.2582483813502199,0.5420835834786587,0.004180227180565515,0.6810631229235881
RESIDUAL_TOTAL,策略收益减去风格解释后的 residual,1.0628851480508836,0.45791641652133885,0.003531179893856756,0.5348837209302325
UNIVERSE_COMMON,全市场等权收益，近似回归截距/共同项,0.9484640027140558,0.40862104256396453,0.0031510431983855676,0.5415282392026578
SELECTION_AFTER_UNIVERSE,residual 扣除全市场等权收益后的选股残差,0.1144211453368274,0.049295373957374156,0.00038013669547118736,0.5049833887043189
STOCK_MODEL_RESIDUAL,逐股实际收益减逐股风格预测后的 residual,1.0630193843345304,0.4579742487321731,0.003531625861576513,0.5348837209302325
CSI500_COMMON,中证500区间收益,0.4562350127975555,0.19655698692839602,0.0015157309395267625,0.5016611295681063
RESIDUAL_AFTER_CSI500,residual 扣除中证500后的剩余,0.6066501352533276,0.2613594295929426,0.0020154489543299917,0.5548172757475083
CSI1000_COMMON,中证1000区间收益,0.47749531545462764,0.20571643527024028,0.001586363174267866,0.5116279069767442
RESIDUAL_AFTER_CSI1000,residual 扣除中证1000后的剩余,0.5853898325962555,0.2521999812510984,0.001944816719588889,0.5448504983388704
STRATEGY_TOTAL,策略算术收益合计,2.3211335294011093,1.0,0.00771140707442229,0.6013289036544851
