component,description,total_contribution,pct_of_strategy_arithmetic,avg_weekly_return,positive_rate
STYLE_TOTAL,风格因子解释部分,0.8460359191992507,0.30649836571309563,0.0028107505621237563,0.6411960132890365
RESIDUAL_TOTAL,策略收益减去风格解释后的 residual,1.9142917492073053,0.6935016342869026,0.006359773253180416,0.5548172757475083
UNIVERSE_COMMON,全市场等权收益，近似回归截距/共同项,0.9484640027140558,0.343605584789711,0.0031510431983855676,0.5415282392026578
SELECTION_AFTER_UNIVERSE,residual 扣除全市场等权收益后的选股残差,0.9658277464932492,0.3498960494971915,0.003208730054794848,0.53156146179402
STOCK_MODEL_RESIDUAL,逐股实际收益减逐股风格预测后的 residual,1.9131839776985127,0.6931003154429581,0.006356092949164494,0.5548172757475083
CSI500_COMMON,中证500区间收益,0.4562350127975555,0.16528291840835105,0.0015157309395267625,0.5016611295681063
RESIDUAL_AFTER_CSI500,residual 扣除中证500后的剩余,1.4580567364097494,0.5282187158785514,0.004844042313653652,0.6013289036544851
CSI1000_COMMON,中证1000区间收益,0.47749531545462764,0.17298501222149062,0.001586363174267866,0.5116279069767442
RESIDUAL_AFTER_CSI1000,residual 扣除中证1000后的剩余,1.4367964337526775,0.5205166220654119,0.00477341007891255,0.5946843853820598
STRATEGY_TOTAL,策略算术收益合计,2.760327668406561,1.0,0.009170523815304189,0.6013289036544851
