factor,total_contribution,contribution_pct_of_strategy_arithmetic,contribution_pct_of_style_arithmetic,avg_abs_exposure,avg_weekly_factor_return
LIQUIDITY,0.24109037226068541,0.08734121496519952,0.2849647004217852,0.24350194534426672,-0.008627229280313673
BETA,0.20780267198659458,0.07528188568517001,0.24561920749567331,0.4773852214824365,0.0019382979793931018
SIZE,0.10987705767572539,0.03980580238111858,0.12987280466734835,0.2796851006919601,-0.0013736659270309308
CAPX,0.08911847892942543,0.03228547101470398,0.10533651929787223,0.4863241683370959,5.7018912315973827e-05
MOMENTUM,0.04973898307838798,0.018019231429542756,0.05879062809232055,0.345657471036127,-0.0011212584643447289
EYIELD,0.0425930882750716,0.015430446451184934,0.05034430253905122,0.5403403681616262,0.00016972813132861043
LP,0.0425930882750708,0.015430446451184644,0.05034430253905028,0.5403403681616262,0.00016972813132861672
STOM,0.04253379005227146,0.015408964138241133,0.05027421305294966,0.25993179532138994,0.0011374623043563007
CFP,0.039893898773040816,0.014452595331216653,0.04715390666958805,0.43206248374465633,0.00024462175518120814
RESVOL,0.03635733311423134,0.01317138306816275,0.04297374649133377,0.35448130877475753,-0.0021431552557552923
SEASON,0.034500718107092085,0.012498776323539924,0.04077925927748536,0.30508026236481073,0.00019632692946899632
RESMOM,0.03275712552888134,0.01186711487328273,0.0387183626433791,0.30694809398737705,0.0017947833418446566
ROA,0.02490541110616555,0.009022628505746406,0.02943777036055123,0.4535550183866196,0.0003407535157868566
BTOP,0.017384629373878274,0.0062980310536516135,0.02054833486305433,0.4491725010781944,-0.00014860536998263983
SGRO,0.016790999658174398,0.006082973355068112,0.0198466746826382,0.40783681616584555,-7.877543890078109e-05
SP,0.01653849605682641,0.005991497403050522,0.01954821974045682,0.4722924002144154,0.00021614443864876852
AGRO,0.015043593277415931,0.005449930256323541,0.017781270199088227,0.3961620349445452,2.405494592008184e-05
MLEV,0.004977400021336353,0.0018031917291216476,0.005883201774751237,0.23020455035039103,5.505231740559006e-05
ROE,0.003566378599798893,0.0012920127710264327,0.004215398565080253,0.4303892895282526,-0.0004405357251118118
EGRO,-0.0008692539694369634,-0.00031490970415796787,-0.0010274433386465236,0.3082569550853179,0.00030116797638501724
TOPSI,-0.027979221032499807,-0.01013619555125179,-0.033070961170278926,0.30465501770189696,0.0005291281076045488
BLEV,-0.028446559118581217,-0.010305500844761088,-0.03362334680246784,0.2296567690875293,0.00031128048959123
HISTVOL,-0.038711105576501294,-0.014024097942998137,-0.045755865322054015,0.40206859374050385,0.0013827888813756455
MIDCAP,-0.0508826231253767,-0.018433544577970133,-0.06014239108610826,0.35129442547806855,0.0006270036428128918
STOQ,-0.0751388321284228,-0.027220982852299482,-0.08881281565390178,0.28116757370060347,0.0017011977711757615
STYLE_TOTAL,0.8460359191992552,0.3064983657130973,1.0,,
RESIDUAL,1.914291749207306,0.6935016342869028,,,
STRATEGY_TOTAL,2.760327668406561,1.0,,,
