date,signal_date,next_date,factor,selected_stock_count,avg_exposure,median_exposure,avg_abs_exposure,factor_return,portfolio_factor_contribution,correct_direction_stock_pct,wrong_direction_stock_pct,strong_stock_pct,strong_correct_stock_pct,top_abs_exposure_contribution_share,wrong_direction_contribution_drag
2020-02-17,2020-02-14,2020-02-24,SIZE,50,-0.015934434754732208,-0.08745730005489916,0.3690326826465312,0.0023636825207076217,-3.766394490711656e-05,0.4,0.6,0.02,0.02,0.43656191101005287,-0.00045497002322428265
2020-02-24,2020-02-21,2020-03-02,SIZE,50,-0.1255729523965831,-0.26980951387643426,0.3486571649455307,-0.011743788989092563,0.001474702255682837,0.68,0.32,0.0,0.0,0.37680540846181776,-0.001309926959486358
2020-03-02,2020-02-28,2020-03-09,SIZE,50,-0.23520094769715308,-0.36350563356182863,0.4111049088335211,-0.010177606155876928,0.0023937826131506324,0.76,0.24,0.0,0.0,0.3670986780346895,-0.0008951406188523176
2020-03-09,2020-03-06,2020-03-16,SIZE,50,-0.32726982051809683,-0.4052947100237806,0.39349711604941817,-0.00999659217406057,0.003271582926597414,0.84,0.16,0.0,0.0,0.3417913572614714,-0.0003310236321088016
2020-03-16,2020-03-13,2020-03-23,SIZE,50,-0.4366897548942091,-0.5010149208446028,0.4439873407841525,-0.011534282478798508,0.005036902988547091,0.88,0.12,0.0,0.0,0.34416257918864224,-4.208620853395011e-05
2020-03-23,2020-03-20,2020-03-30,SIZE,50,-0.5242992531707663,-0.513323651734329,0.5269665010668748,0.000495205980051372,-0.0002596361255066317,0.02,0.98,0.0,0.0,0.3045155273833017,-0.0002602965440608479
2020-03-30,2020-03-27,2020-04-07,SIZE,50,-0.26646573805164886,-0.32266923627079747,0.35538260302895336,-0.0033169211724698444,0.0008838458482813175,0.78,0.22,0.0,0.0,0.36356041962952446,-0.00014746511601643187
2020-04-07,2020-04-03,2020-04-13,SIZE,50,-0.02091987434185243,-0.02565867423100375,0.35516075570148664,0.00031812701070466076,-6.655177088690646e-06,0.48,0.52,0.02,0.02,0.412448171167715,-5.982070330980644e-05
2020-04-13,2020-04-10,2020-04-20,SIZE,50,-0.2938154127191414,-0.36631899220380426,0.38838081975520694,-0.0016160699873211115,0.00047482627030777,0.78,0.22,0.0,0.0,0.36908303315879104,-7.641215807489508e-05
2020-04-20,2020-04-17,2020-04-27,SIZE,50,-0.1224730811292216,-0.1475421206574528,0.3807305957550362,0.006005852866271422,-0.0007355553053410279,0.38,0.62,0.02,0.02,0.3993914531850413,-0.001511083622566819
2020-04-27,2020-04-24,2020-05-06,SIZE,50,-0.24345568677923587,-0.2930361481795799,0.3356088597161394,0.000320694026372248,-7.807478443645401e-05,0.2,0.8,0.0,0.0,0.3666968323235351,-9.285127047251084e-05
2020-05-06,2020-04-30,2020-05-11,SIZE,50,-0.021875377325424043,-0.08304857416596814,0.3054292338570617,-0.000800142932720016,1.7503428567521733e-05,0.6,0.4,0.0,0.0,0.4316192038252533,-0.00011344180717464762
2020-05-11,2020-05-08,2020-05-18,SIZE,50,-0.08216526514732775,-0.22483257151791058,0.38322678553541517,-0.004097510655613368,0.00033667304946247313,0.68,0.32,0.02,0.0,0.38969890177767325,-0.0006168013938926747
2020-05-18,2020-05-15,2020-05-25,SIZE,50,-0.12273076643747448,-0.14800772295032338,0.3234405498212601,-0.00910386856661416,0.0011173247667265879,0.72,0.28,0.0,0.0,0.4124770801369192,-0.0009136177439797914
2020-05-25,2020-05-22,2020-06-01,SIZE,50,-0.22790501050978734,-0.24315848042668575,0.32306037569180196,-0.002805709539087986,0.0006394352619932581,0.78,0.22,0.0,0.0,0.40115145355906584,-0.0001334891578932896
2020-06-01,2020-05-29,2020-06-08,SIZE,50,-0.35652857031011165,-0.4526591458579398,0.47205788765761303,-0.0003160467057254923,0.00011267968014353035,0.86,0.14,0.0,0.0,0.31793901751530657,-1.8256330081196397e-05
2020-06-08,2020-06-05,2020-06-15,SIZE,50,-0.4784046742761771,-0.5550687138183024,0.5180973842824986,-0.004919020292449061,0.0023532823007669985,0.96,0.04,0.0,0.0,0.3200715621237709,-9.762462299169591e-05
2020-06-15,2020-06-12,2020-06-22,SIZE,50,-0.41090828808702234,-0.43507623997813555,0.44256124022808274,0.00517425430976548,-0.002126143980552631,0.08,0.92,0.0,0.0,0.34588309585526217,-0.0022080341925689723
2020-06-22,2020-06-19,2020-06-29,SIZE,50,-0.1531898022029912,-0.18012853681479235,0.31246233537795753,-0.0003485958187027238,5.340132451586004e-05,0.66,0.34,0.0,0.0,0.40760119250842813,-2.7760869549492074e-05
2020-06-29,2020-06-24,2020-07-06,SIZE,50,-0.013103662833910361,-0.071244982616935,0.38463254577589867,0.015896782687261135,-0.0002083060804778134,0.48,0.52,0.0,0.0,0.40285436366145283,-0.0031613630375626474
2020-07-06,2020-07-03,2020-07-13,SIZE,50,0.17538192380502393,0.04403142080801725,0.485754868073107,-0.009050801317504131,-0.0015873469470409198,0.48,0.52,0.04,0.0,0.42926195548900686,-0.0029919088734905214
2020-07-13,2020-07-10,2020-07-20,SIZE,50,0.14811417188136827,0.1682838286582003,0.40895915523896925,-0.01264981460213177,-0.0018736168142475871,0.4,0.6,0.02,0.0,0.42369544505223805,-0.0035234371539324873
2020-07-20,2020-07-17,2020-07-27,SIZE,50,-0.1070412461295355,-0.30148237524808597,0.43899589777582493,-0.006002776614025485,0.0006425446890025216,0.68,0.32,0.02,0.0,0.38503133976083675,-0.0009963248099096613
2020-07-27,2020-07-24,2020-08-03,SIZE,50,-0.24793021333282259,-0.3314955550943913,0.4209370444607796,-0.004793374470418166,0.0011884223550348812,0.78,0.22,0.0,0.0,0.3551487519650516,-0.0004146432637683483
2020-08-03,2020-07-31,2020-08-10,SIZE,50,-0.18869046979928403,-0.32473903300376294,0.47645203829238497,-0.0031414404685612407,0.0005927598778593035,0.78,0.22,0.04,0.0,0.40291626598256747,-0.00045199291828044226
2020-08-10,2020-08-07,2020-08-17,SIZE,50,-0.06750283505878009,-0.1093645549921648,0.4066635769242856,-0.0048547640878554565,0.0003277103394717958,0.64,0.36,0.0,0.0,0.36830401835925836,-0.0008232726948095353
2020-08-17,2020-08-14,2020-08-24,SIZE,50,-0.1205614012126329,-0.3052631063032972,0.48241013855929027,-0.009178457170010312,0.0011065676573865804,0.66,0.34,0.04,0.0,0.3768944605258269,-0.0016606065688793024
2020-08-24,2020-08-21,2020-08-31,SIZE,50,-0.27513308607406656,-0.44963801236231626,0.47152381549833583,-0.0037566846348465743,0.0010335882369923658,0.82,0.18,0.02,0.0,0.34012882324381644,-0.0003688890178272317
2020-08-31,2020-08-28,2020-09-07,SIZE,50,-0.548378321506137,-0.589911302404015,0.5515430933893141,-0.00942595423204029,0.005168988960359923,0.98,0.02,0.0,0.0,0.2721392765742376,-1.4915497462838028e-05
2020-09-07,2020-09-04,2020-09-14,SIZE,50,-0.5109271203698381,-0.5437115986807021,0.5504541878671327,0.0012903106959929467,-0.0006592547282860779,0.04,0.96,0.0,0.0,0.2887490153857484,-0.0006847558272725751
2020-09-14,2020-09-11,2020-09-21,SIZE,50,-0.4224136079319635,-0.46073567455155373,0.47388648483798823,-0.000502071491108147,0.00021208182999877308,0.96,0.04,0.0,0.0,0.31817893598616426,-1.292153202991697e-05
