factor,periods,avg_correct_direction_stock_pct,avg_strong_stock_pct,avg_strong_correct_stock_pct,avg_top_abs_exposure_contribution_share,avg_abs_exposure,median_abs_avg_exposure,total_contribution,avg_factor_return
CAPX,301,0.5664451827242525,0.27335548172757473,0.17335548172757476,0.41180307296036095,0.83992149285077,0.4501904565535586,0.10253931458316479,5.701891231597222e-05
MIDCAP,301,0.5398338870431894,0.27564784053156144,0.16162790697674417,0.3862623651251155,0.8668745765682553,0.5771374619263101,0.10659027727123696,0.0006270036428128853
CFP,301,0.5443853820598006,0.24588039867109632,0.14827242524916945,0.53539665326972,0.6464887728546536,0.3575050091231952,0.042605744427414695,0.0002446217551811996
AGRO,301,0.5214285714285714,0.23644518272425255,0.12787375415282393,0.5009526857726062,0.6609198116319964,0.4064777760743326,0.023030531315082935,2.4054945920080112e-05
EYIELD,301,0.5168770764119601,0.2356478405315615,0.126578073089701,0.4766241859802743,0.7364849538270608,0.4248972619672054,0.0354549900024283,0.00016972813132860583
LP,301,0.5168770764119601,0.2356478405315615,0.126578073089701,0.4766241859802743,0.7364849538270608,0.4248972619672054,0.035454990002426426,0.00016972813132861388
SIZE,301,0.5672093023255814,0.232624584717608,0.12568106312292357,0.37006316168230186,0.8492176195556337,0.5970030793966131,0.23223195739330071,-0.0013736659270309182
EGRO,301,0.4740199335548173,0.22697674418604655,0.12265780730897011,0.501082471309847,0.582156874265124,0.2275954397698969,0.021300863100301493,0.0003011679763850125
SGRO,301,0.510797342192691,0.21614617940199338,0.11594684385382059,0.4173636526218184,0.739038446386933,0.388588733661206,0.014477278716619026,-7.877543890078088e-05
SP,301,0.47837209302325584,0.2379734219269103,0.11425249169435216,0.44235618412552874,0.6579262805288111,0.3251758655222548,-0.025281466975923095,0.0002161444386487668
ROE,301,0.541860465116279,0.1921594684385382,0.11355481727574751,0.4954792009723075,0.6353056641653203,0.3609485547252116,0.044771626940616926,-0.0004405357251118102
ROA,301,0.497109634551495,0.1854152823920266,0.0980730897009967,0.4587554906291141,0.6781342842873233,0.3991184716443279,0.0018669936855312819,0.0003407535157868555
BTOP,301,0.51,0.20242524916943525,0.09794019933554818,0.4338306192765223,0.6794215842088203,0.3905709027798966,0.030209788938531323,-0.0001486053699826371
SEASON,301,0.5019601328903653,0.18152823920265784,0.09362126245847176,0.4821576329827425,0.5838217639736083,0.305274047909526,0.05731651303106524,0.00019632692946899697
BLEV,301,0.5096345514950167,0.1667109634551495,0.08853820598006644,0.417974404673734,0.47286022184394116,0.2526732310732364,0.011948514901751424,0.00031128048959122936
BETA,301,0.5222259136212625,0.15299003322259136,0.08803986710963455,0.4424100564629908,0.6786813975069432,0.4037629922960797,0.2273158732805079,0.0019382979793930964
MLEV,301,0.49744186046511635,0.15940199335548172,0.07425249169435216,0.3771817998422548,0.36593738687963984,0.2417418317262773,-0.04553470972793976,5.505231740558951e-05
MOMENTUM,301,0.5146511627906977,0.13534883720930233,0.06667774086378737,0.4557932830770779,0.5518401632398491,0.2968452379852556,0.024881110559030938,-0.0011212584643447222
STOQ,301,0.45478405315614623,0.12508305647840534,0.06368770764119602,0.3946530095831764,0.515039411241767,0.2891808619630484,-0.0925971695557638,0.0017011977711757563
RESVOL,301,0.5185382059800665,0.11305647840531562,0.06029900332225913,0.4516043288600743,0.6007053774396598,0.3082853626801176,0.20102307637667824,-0.0021431552557552875
STOM,301,0.4843853820598006,0.11936877076411963,0.059468438538205985,0.38886350503492734,0.488398277528403,0.286299983730035,-0.0013057819383286012,0.0011374623043562961
RESMOM,301,0.5011627906976744,0.10039867109634551,0.0554485049833887,0.4669313304497636,0.5351459474780835,0.2227198690768646,0.1106893408275875,0.0017947833418446488
HISTVOL,301,0.48172757475083056,0.10794019933554817,0.05059800664451827,0.4511957909877019,0.5917542817837989,0.332731654424599,-0.24130917974435295,0.001382788881375645
TOPSI,301,0.5016611295681063,0.09425249169435218,0.04375415282392026,0.46583800277895976,0.5249984192102007,0.2181540701665955,-0.1180489940054718,0.0005291281076045512
LIQUIDITY,301,0.7087707641196014,0.09106312292358805,0.040697674418604654,0.36766554683611696,0.4341355070227316,0.2745808478165019,0.45861689794470684,-0.008627229280313635
