date,signal_date,next_date,signal,factor,exposure,factor_return,contribution,signal_direction,exposure_direction,factor_return_direction,signal_hit,exposure_alignment,exposure_hit,signal_direction_factor_return,signal_weighted_factor_return,exposure_direction_factor_return,positive_contribution
2020-02-17,2020-02-14,2020-02-24,1.0,SIZE,0.6184864397729951,0.0023636825207076217,0.0014619055869861159,1.0,1.0,1.0,True,True,True,0.0023636825207076217,0.0023636825207076217,0.0023636825207076217,True
2020-02-24,2020-02-21,2020-03-02,0.3333333333333332,SIZE,0.31808186832514873,-0.011743788989092563,-0.003735486342866872,1.0,1.0,-1.0,False,True,False,-0.011743788989092563,-0.0039145963296975195,-0.011743788989092563,False
2020-03-02,2020-02-28,2020-03-09,-0.3333333333333333,SIZE,-0.19167123698219213,-0.010177606155876928,0.001950754361414504,-1.0,-1.0,-1.0,True,True,True,0.010177606155876928,0.0033925353852923093,0.010177606155876928,True
2020-03-09,2020-03-06,2020-03-16,-1.0,SIZE,-0.6157634639428394,-0.00999659217406057,0.006155536224723417,-1.0,-1.0,-1.0,True,True,True,0.00999659217406057,0.00999659217406057,0.00999659217406057,True
2020-03-16,2020-03-13,2020-03-23,-1.0,SIZE,-1.2005725312640059,-0.011534282478798508,0.013847742711885196,-1.0,-1.0,-1.0,True,True,True,0.011534282478798508,0.011534282478798508,0.011534282478798508,True
2020-03-23,2020-03-20,2020-03-30,-1.0,SIZE,-1.1518824334362334,0.000495205980051372,-0.0005704190693537492,-1.0,-1.0,1.0,False,True,False,-0.000495205980051372,-0.000495205980051372,-0.000495205980051372,False
2020-03-30,2020-03-27,2020-04-07,-1.0,SIZE,-1.014016199812364,-0.0033169211724698444,0.0033634118023850423,-1.0,-1.0,-1.0,True,True,True,0.0033169211724698444,0.0033169211724698444,0.0033169211724698444,True
2020-04-07,2020-04-03,2020-04-13,-0.3333333333333333,SIZE,-0.2843477782478115,0.00031812701070466076,-9.045870869448803e-05,-1.0,-1.0,1.0,False,True,False,-0.00031812701070466076,-0.00010604233690155358,-0.00031812701070466076,False
2020-04-13,2020-04-10,2020-04-20,-1.0,SIZE,-0.8727138650961535,-0.0016160699873211115,0.001410366684900899,-1.0,-1.0,-1.0,True,True,True,0.0016160699873211115,0.0016160699873211115,0.0016160699873211115,True
2020-04-20,2020-04-17,2020-04-27,-0.3333333333333333,SIZE,-0.19550747952892894,0.006005852866271422,-0.0011741891563063192,-1.0,-1.0,1.0,False,True,False,-0.006005852866271422,-0.002001950955423807,-0.006005852866271422,False
