factor,periods,signal_hit_rate,signal_exposure_alignment_rate,exposure_hit_rate,positive_contribution_rate,signal_direction_factor_return_sum,signal_weighted_factor_return_sum,exposure_direction_factor_return_sum,raw_factor_return_sum,total_contribution,avg_signal,avg_abs_signal,avg_exposure,avg_abs_exposure,avg_factor_return
LIQUIDITY,301,0.8637873754152824,0.7508305647840532,0.6877076411960132,0.6877076411960132,2.3743805698686127,2.124346343871861,1.0040957102319275,-2.5967960133744157,0.24109037226068541,-0.8449612403100775,0.8693244739756366,-0.13444127096253738,0.24350194534426672,-0.008627229280313673
TOPSI,301,0.5714285714285714,0.4983388704318937,0.48172757475083056,0.48172757475083056,0.45326493826972725,0.20519540545272544,-0.29869896884071323,0.15926756038896916,-0.027979221032499807,0.014396456256921345,0.654485049833887,-0.011556185697151977,0.30465501770189696,0.0005291281076045488
BETA,301,0.53156146179402,0.8106312292358804,0.5415282392026578,0.5415282392026578,0.4036501907535045,0.188515365018544,0.37495176455970347,0.5834276917973237,0.20780267198659458,0.15171650055370983,0.6478405315614618,0.13256113022917726,0.4773852214824365,0.0019382979793931018
SIZE,301,0.5681063122923588,0.7541528239202658,0.5946843853820598,0.5946843853820598,0.31425256470665164,0.27714140862761477,0.3472427694575664,-0.41347344403631014,0.10987705767572539,-0.3023255813953488,0.6611295681063123,-0.20864379261179555,0.2796851006919601,-0.0013736659270309308
STOQ,301,0.5647840531561462,0.5448504983388704,0.4485049833887043,0.4485049833887043,0.2506115230813808,0.182508719535439,-0.24527941432717837,0.5120605291239042,-0.0751388321284228,0.2137320044296788,0.6500553709856035,-0.122069707797717,0.28116757370060347,0.0017011977711757615
ROE,301,0.5813953488372093,0.5448504983388704,0.5514950166112956,0.5514950166112956,0.21928043234320072,0.15039335468209086,0.014905197469069043,-0.13260125325865535,0.003566378599798893,-0.13621262458471764,0.64562569213732,0.004949401408838899,0.4303892895282526,-0.0004405357251118118
RESMOM,301,0.5614617940199336,0.6179401993355482,0.5116279069767442,0.5116279069767442,0.17911148065144822,0.19545429805042858,0.22879019055178507,0.5402297858952416,0.03275712552888134,0.16943521594684383,0.6611295681063123,-0.022294975574371476,0.30694809398737705,0.0017947833418446566
MLEV,301,0.4983388704318937,0.3687707641196013,0.5116279069767442,0.5116279069767442,0.14343640915588396,0.15754870197664816,0.046377911942339756,0.01657074753908261,0.004977400021336353,-0.005537098560354414,0.64562569213732,-0.10987235660690783,0.23020455035039103,5.505231740559006e-05
MIDCAP,301,0.5780730897009967,0.46511627906976744,0.46179401993355484,0.46179401993355484,0.11961369788825138,0.09592530273542564,-0.14094783707984182,0.18872809648668043,-0.0508826231253767,0.2425249169435216,0.6434108527131782,-0.3212526064515283,0.35129442547806855,0.0006270036428128918
MOMENTUM,301,0.5049833887043189,0.813953488372093,0.5249169435215947,0.5249169435215947,0.11917358132531153,0.0957445213505418,0.1770046995388358,-0.33749879776776337,0.04973898307838798,-0.23366555924695462,0.6124031007751938,-0.1547516500004104,0.345657471036127,-0.0011212584643447289
BLEV,301,0.5448504983388704,0.7009966777408638,0.5116279069767442,0.5116279069767442,0.11587051816467231,0.08374142721165218,-0.13314317644620266,0.09369542736696024,-0.028446559118581217,-0.0055370985603543955,0.6301218161683277,-0.1112160164724804,0.2296567690875293,0.00031128048959123
RESVOL,301,0.5448504983388704,0.5614617940199336,0.5514950166112956,0.5514950166112956,0.11460211874945903,0.18695001790663623,0.18248666319962292,-0.645089731982343,0.03635733311423134,-0.1295681063122924,0.6168327796234773,-0.020451391536501697,0.35448130877475753,-0.0021431552557552923
ROA,301,0.5282392026578073,0.6943521594684385,0.4950166112956811,0.4950166112956811,0.11101572019647565,0.09333510149049402,-0.01167193958756596,0.10256680825184383,0.02490541110616555,0.04540420819490585,0.619047619047619,-0.007517927859001068,0.4535550183866196,0.0003407535157868566
SEASON,301,0.5348837209302325,0.8803986710963455,0.5282392026578073,0.5282392026578073,0.10473029506133114,0.0973483740791837,0.13930822254453745,0.05909440577016789,0.034500718107092085,-0.08748615725359915,0.6500553709856034,-0.013018723726832306,0.30508026236481073,0.00019632692946899632
CAPX,301,0.5714285714285714,0.8637873754152824,0.5880398671096345,0.5880398671096345,0.08608428446290495,0.07257016404125101,0.10593656652140326,0.01716269260710812,0.08911847892942543,0.10520487264673307,0.6411960132890364,0.129699292576076,0.4863241683370959,5.7018912315973827e-05
CFP,301,0.584717607973422,0.8637873754152824,0.5946843853820598,0.5946843853820598,0.06320458209135815,0.057837887625035056,0.06417044086006352,0.07363114830954365,0.039893898773040816,0.21816168327796231,0.6566998892580288,0.14422010828679951,0.43206248374465633,0.00024462175518120814
EYIELD,301,0.5614617940199336,0.7940199335548173,0.5348837209302325,0.5348837209302325,0.061016755800297195,0.0583738369346262,0.0525552111567722,0.05108816752991174,0.0425930882750716,0.1273532668881506,0.6367663344407529,0.08787393179208632,0.5403403681616262,0.00016972813132861043
LP,301,0.5614617940199336,0.7940199335548173,0.5348837209302325,0.5348837209302325,0.06101675580029464,0.05837383693462446,0.052555211156769865,0.05108816752991363,0.0425930882750708,0.1273532668881506,0.6367663344407529,0.08787393179208632,0.5403403681616262,0.00016972813132861672
BTOP,301,0.5249169435215947,0.7906976744186046,0.5282392026578073,0.5282392026578073,0.05079298364018536,0.034114950696219296,0.07485516740062292,-0.04473021636477459,0.017384629373878274,-0.12292358803986715,0.6124031007751938,0.11962053185227475,0.4491725010781944,-0.00014860536998263983
SP,301,0.5548172757475083,0.7840531561461794,0.5182724252491694,0.5182724252491694,0.041352786197933145,0.013790510458573041,0.014527932316520054,0.06505947603327933,0.01653849605682641,0.15836101882613507,0.6124031007751938,0.20848725269079435,0.4722924002144154,0.00021614443864876852
SGRO,301,0.5348837209302325,0.8073089700996677,0.521594684385382,0.521594684385382,0.03200544501892222,0.03729122273563731,0.0547895292297933,-0.023711407109135108,0.016790999658174398,-0.05647840531561464,0.619047619047619,0.017320375398161943,0.40783681616584555,-7.877543890078109e-05
EGRO,301,0.53156146179402,0.7209302325581395,0.47840531561461797,0.47840531561461797,0.0244999882907887,0.03369971928046707,-0.027789462215804472,0.09065156089189019,-0.0008692539694369634,0.2624584717607973,0.6256921373200443,0.10219760412284852,0.3082569550853179,0.00030116797638501724
AGRO,301,0.5249169435215947,0.8870431893687708,0.5116279069767442,0.5116279069767442,0.0024242211954664805,0.008189248378003236,0.011299216620975439,0.007240538721944634,0.015043593277415931,0.012181616832779607,0.6035437430786269,-0.006645957369862046,0.3961620349445452,2.405494592008184e-05
STOM,301,0.5149501661129569,0.5647840531561462,0.5049833887043189,0.5049833887043189,-0.05348668672271806,-0.08584760712427449,0.08904940753691737,0.3423761536112465,0.04253379005227146,0.14064230343300108,0.610188261351052,-0.10339654873730057,0.25993179532138994,0.0011374623043563007
HISTVOL,301,0.5149501661129569,0.4750830564784053,0.4485049833887043,0.4485049833887043,-0.12892465793214614,0.09803516346670232,-0.5996803098982448,0.4162194532940693,-0.038711105576501294,0.0299003322259136,0.6301218161683276,0.02845053316650337,0.40206859374050385,0.0013827888813756455
