scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
baseline,0,2020,46,0.385581067361326,0.385581067361326,0.7223913043478262,0.5869565217391305
baseline,0,2021,52,0.7444734784445048,0.7444734784445048,0.7590384615384616,0.6538461538461539
baseline,0,2022,50,0.18063878403707512,0.18063878403707512,0.7932000000000001,0.56
baseline,0,2023,50,0.20927138521444988,0.20927138521444988,0.7854000000000001,0.54
baseline,0,2024,52,0.22483094195411368,0.22483094195411368,0.7965384615384618,0.5576923076923077
baseline,0,2025,51,0.8940158947185486,0.8940158947185486,0.7533333333333332,0.7058823529411765
baseline,5,2020,46,0.385581067361326,0.36274548291109343,0.7223913043478262,0.5869565217391305
baseline,5,2021,52,0.7444734784445048,0.7103771119839617,0.7590384615384616,0.6538461538461539
baseline,5,2022,50,0.18063878403707512,0.15745263885236271,0.7932000000000001,0.56
baseline,5,2023,50,0.20927138521444988,0.1857542290742784,0.7854000000000001,0.54
baseline,5,2024,52,0.22483094195411368,0.19972045322971144,0.7965384615384618,0.5576923076923077
baseline,5,2025,51,0.8940158947185486,0.8579721142233567,0.7533333333333332,0.7058823529411765
baseline,10,2020,46,0.385581067361326,0.3402776862958492,0.7223913043478262,0.5869565217391305
baseline,10,2021,52,0.7444734784445048,0.6769340872905811,0.7590384615384616,0.6538461538461539
baseline,10,2022,50,0.18063878403707512,0.13471265309111025,0.7932000000000001,0.56
baseline,10,2023,50,0.20927138521444988,0.16268519492624156,0.7854000000000001,0.52
baseline,10,2024,52,0.22483094195411368,0.17511475607559546,0.7965384615384618,0.5576923076923077
baseline,10,2025,51,0.8940158947185486,0.822600563948163,0.7533333333333332,0.7058823529411765
baseline,20,2020,46,0.385581067361326,0.29642240241002704,0.7223913043478262,0.5652173913043478
baseline,20,2021,52,0.7444734784445048,0.6119592147805768,0.7590384615384616,0.6538461538461539
baseline,20,2022,50,0.18063878403707512,0.09053768093233772,0.7932000000000001,0.54
baseline,20,2023,50,0.20927138521444988,0.11785819232715333,0.7854000000000001,0.5
baseline,20,2024,52,0.22483094195411368,0.12737814187765872,0.7965384615384618,0.5576923076923077
baseline,20,2025,51,0.8940158947185486,0.7538252455920535,0.7533333333333332,0.7058823529411765
baseline,50,2020,46,0.385581067361326,0.17309971234769606,0.7223913043478262,0.5434782608695652
baseline,50,2021,52,0.7444734784445048,0.4314843531229535,0.7590384615384616,0.5769230769230769
baseline,50,2022,50,0.18063878403707512,-0.032122631197487594,0.7932000000000001,0.48
baseline,50,2023,50,0.20927138521444988,-0.006706868711461644,0.7854000000000001,0.5
baseline,50,2024,52,0.22483094195411368,-0.0047124978869174106,0.7965384615384618,0.5384615384615384
baseline,50,2025,51,0.8940158947185486,0.5623997926267168,0.7533333333333332,0.6666666666666666
baseline,100,2020,46,0.385581067361326,-0.00743611562190527,0.7223913043478262,0.5
baseline,100,2021,52,0.7444734784445048,0.1737280360065896,0.7590384615384616,0.5384615384615384
baseline,100,2022,50,0.18063878403707512,-0.20718944995428412,0.7932000000000001,0.46
baseline,100,2023,50,0.20927138521444988,-0.18476291844688986,0.7854000000000001,0.42
baseline,100,2024,52,0.22483094195411368,-0.19193100955595088,0.7965384615384618,0.4807692307692308
baseline,100,2025,51,0.8940158947185486,0.2878699337612547,0.7533333333333332,0.5882352941176471
tc20_buf1p5,0,2020,46,0.23089501673013957,0.23089501673013957,0.1956521739130434,0.5652173913043478
tc20_buf1p5,0,2021,52,0.30631459540388306,0.30631459540388306,0.19999999999999993,0.6538461538461539
tc20_buf1p5,0,2022,50,0.0804772093196724,0.0804772093196724,0.19999999999999996,0.56
tc20_buf1p5,0,2023,50,0.14998803056624355,0.14998803056624355,0.19999999999999996,0.5
tc20_buf1p5,0,2024,52,0.01656155833700068,0.01656155833700068,0.19999999999999993,0.5192307692307693
tc20_buf1p5,0,2025,51,0.6928977365560216,0.6928977365560216,0.19999999999999996,0.7254901960784313
tc20_buf1p5,5,2020,46,0.23089501673013957,0.22536815756744621,0.1956521739130434,0.5652173913043478
tc20_buf1p5,5,2021,52,0.30631459540388306,0.29953905240509804,0.19999999999999993,0.6538461538461539
tc20_buf1p5,5,2022,50,0.0804772093196724,0.07508803796639518,0.19999999999999996,0.56
tc20_buf1p5,5,2023,50,0.14998803056624355,0.14425215525348123,0.19999999999999996,0.5
tc20_buf1p5,5,2024,52,0.01656155833700068,0.011288895401397436,0.19999999999999993,0.5192307692307693
tc20_buf1p5,5,2025,51,0.6928977365560216,0.6842855073333962,0.19999999999999996,0.7254901960784313
tc20_buf1p5,10,2020,46,0.23089501673013957,0.21986556558398496,0.1956521739130434,0.5652173913043478
tc20_buf1p5,10,2021,52,0.30631459540388306,0.29279798014616354,0.19999999999999993,0.6538461538461539
tc20_buf1p5,10,2022,50,0.0804772093196724,0.06972521158830913,0.19999999999999996,0.56
tc20_buf1p5,10,2023,50,0.14998803056624355,0.13854431977892645,0.19999999999999996,0.5
tc20_buf1p5,10,2024,52,0.01656155833700068,0.006043057266757135,0.19999999999999993,0.5192307692307693
tc20_buf1p5,10,2025,51,0.6928977365560216,0.6757162360665705,0.19999999999999996,0.7254901960784313
tc20_buf1p5,20,2020,46,0.23089501673013957,0.20893276702964125,0.1956521739130434,0.5652173913043478
tc20_buf1p5,20,2021,52,0.30631459540388306,0.27941856089151695,0.19999999999999993,0.6538461538461539
tc20_buf1p5,20,2022,50,0.0804772093196724,0.05907808966247141,0.19999999999999996,0.56
tc20_buf1p5,20,2023,50,0.14998803056624355,0.12721223181901253,0.19999999999999996,0.5
tc20_buf1p5,20,2024,52,0.01656155833700068,-0.004368679182486623,0.19999999999999993,0.5192307692307693
