scenario,cost_bps,year,weeks,annual_return,net_annual_return,avg_turnover,win_rate
baseline,0,2020,46,0.5293724708510172,0.5293724708510172,0.6482608695652174,0.6086956521739131
baseline,0,2021,52,1.2633638940722127,1.2633638940722127,0.6815384615384613,0.7307692307692307
baseline,0,2022,50,0.32385415320564004,0.32385415320564004,0.7356000000000001,0.56
baseline,0,2023,50,0.2866627433668676,0.2866627433668676,0.7560000000000001,0.54
baseline,0,2024,52,0.30829126104974547,0.30829126104974547,0.7330769230769231,0.5769230769230769
baseline,0,2025,51,0.5590484853742446,0.5590484853742446,0.7262745098039215,0.5882352941176471
baseline,5,2020,46,0.5293724708510172,0.5067347242233522,0.6482608695652174,0.5869565217391305
baseline,5,2021,52,1.2633638940722127,1.223603242335448,0.6815384615384613,0.7307692307692307
baseline,5,2022,50,0.32385415320564004,0.29972635708496953,0.7356000000000001,0.56
baseline,5,2023,50,0.2866627433668676,0.2625684950544589,0.7560000000000001,0.54
baseline,5,2024,52,0.30829126104974547,0.28358666007723343,0.7330769230769231,0.5769230769230769
baseline,5,2025,51,0.5590484853742446,0.5304352256500449,0.7262745098039215,0.5686274509803921
baseline,10,2020,46,0.5293724708510172,0.4844242599006867,0.6482608695652174,0.5869565217391305
baseline,10,2021,52,1.2633638940722127,1.184527110478189,0.6815384615384613,0.7307692307692307
baseline,10,2022,50,0.32385415320564004,0.27602924185477473,0.7356000000000001,0.56
baseline,10,2023,50,0.2866627433668676,0.23891623817142826,0.7560000000000001,0.54
baseline,10,2024,52,0.30829126104974547,0.25933931703248514,0.7330769230769231,0.5769230769230769
baseline,10,2025,51,0.5590484853742446,0.5023364824984968,0.7262745098039215,0.5686274509803921
baseline,20,2020,46,0.5293724708510172,0.4407667655379415,0.6482608695652174,0.5869565217391305
baseline,20,2021,52,1.2633638940722127,1.1083824182360038,0.6815384615384613,0.7115384615384616
baseline,20,2022,50,0.32385415320564004,0.22989707835428952,0.7356000000000001,0.54
baseline,20,2023,50,0.2866627433668676,0.19290608099724738,0.7560000000000001,0.52
baseline,20,2024,52,0.30829126104974547,0.21218338212474586,0.7330769230769231,0.5576923076923077
baseline,20,2025,51,0.5590484853742446,0.44764645792019,0.7262745098039215,0.5686274509803921
baseline,50,2020,46,0.5293724708510172,0.31718156525026964,0.6482608695652174,0.5652173913043478
baseline,50,2021,52,1.2633638940722127,0.8952146792114104,0.6815384615384613,0.6923076923076923
baseline,50,2022,50,0.32385415320564004,0.10108019113080546,0.7356000000000001,0.54
baseline,50,2023,50,0.2866627433668676,0.06468587193699027,0.7560000000000001,0.5
baseline,50,2024,52,0.30829126104974547,0.08085705561577328,0.7330769230769231,0.5576923076923077
baseline,50,2025,51,0.5590484853742446,0.2950139576248443,0.7262745098039215,0.5686274509803921
baseline,100,2020,46,0.5293724708510172,0.1338307939083918,0.6482608695652174,0.5
baseline,100,2021,52,1.2633638940722127,0.5859264821216839,0.6815384615384613,0.5576923076923077
baseline,100,2022,50,0.32385415320564004,-0.08486066929060687,0.7356000000000001,0.44
baseline,100,2023,50,0.2866627433668676,-0.11965410545111199,0.7560000000000001,0.36
baseline,100,2024,52,0.30829126104974547,-0.10769963142242,0.7330769230769231,0.5
baseline,100,2025,51,0.5590484853742446,0.07492947313947163,0.7262745098039215,0.5490196078431373
tc20_buf1,0,2020,46,0.2543011848223522,0.2543011848223522,0.1956521739130434,0.5
tc20_buf1,0,2021,52,0.317240667150239,0.317240667150239,0.19999999999999993,0.6538461538461539
tc20_buf1,0,2022,50,0.0772903554773745,0.0772903554773745,0.19999999999999996,0.54
tc20_buf1,0,2023,50,0.19643968742838513,0.19643968742838513,0.19999999999999996,0.52
tc20_buf1,0,2024,52,-0.09477291870830817,-0.09477291870830817,0.19999999999999993,0.5
tc20_buf1,0,2025,51,0.44108446880928254,0.44108446880928254,0.19999999999999996,0.6470588235294118
tc20_buf1,5,2020,46,0.2543011848223522,0.2486692292925221,0.1956521739130434,0.5
tc20_buf1,5,2021,52,0.317240667150239,0.31040845321691246,0.19999999999999993,0.6346153846153846
tc20_buf1,5,2022,50,0.0772903554773745,0.07191707941673897,0.19999999999999996,0.54
tc20_buf1,5,2023,50,0.19643968742838513,0.19047212195472563,0.19999999999999996,0.52
tc20_buf1,5,2024,52,-0.09477291870830817,-0.09946811620096141,0.19999999999999993,0.5
tc20_buf1,5,2025,51,0.44108446880928254,0.4337532818707275,0.19999999999999996,0.6470588235294118
tc20_buf1,10,2020,46,0.2543011848223522,0.24306200239612608,0.1956521739130434,0.5
tc20_buf1,10,2021,52,0.317240667150239,0.30361099833819516,0.19999999999999993,0.6346153846153846
tc20_buf1,10,2022,50,0.0772903554773745,0.06657007062712395,0.19999999999999996,0.54
tc20_buf1,10,2023,50,0.19643968742838513,0.1845337289370974,0.19999999999999996,0.52
tc20_buf1,10,2024,52,-0.09477291870830817,-0.10413942676214083,0.19999999999999993,0.5
tc20_buf1,10,2025,51,0.44108446880928254,0.4264586630257876,0.19999999999999996,0.6470588235294118
tc20_buf1,20,2020,46,0.2543011848223522,0.23192131046565945,0.1956521739130434,0.5
tc20_buf1,20,2021,52,0.317240667150239,0.29011967304252884,0.19999999999999993,0.6346153846153846
tc20_buf1,20,2022,50,0.0772903554773745,0.05595435225253764,0.19999999999999996,0.54
tc20_buf1,20,2023,50,0.19643968742838513,0.17274390207255785,0.19999999999999996,0.52
tc20_buf1,20,2024,52,-0.09477291870830817,-0.1134108631250752,0.19999999999999993,0.5
tc20_buf1,20,2025,51,0.44108446880928254,0.41197841538452695,0.19999999999999996,0.6470588235294118
tc20_buf1,50,2020,46,0.2543011848223522,0.1990817765068187,0.1956521739130434,0.5
tc20_buf1,50,2021,52,0.317240667150239,0.2504620557774895,0.19999999999999993,0.6153846153846154
tc20_buf1,50,2022,50,0.0772903554773745,0.02472464933245888,0.19999999999999996,0.54
tc20_buf1,50,2023,50,0.19643968742838513,0.13806016448017622,0.19999999999999996,0.5
tc20_buf1,50,2024,52,-0.09477291870830817,-0.1406641586109192,0.19999999999999993,0.4807692307692308
tc20_buf1,50,2025,51,0.44108446880928254,0.3693968897812794,0.19999999999999996,0.6470588235294118
tc20_buf1,100,2020,46,0.2543011848223522,0.14624166437152497,0.1956521739130434,0.4782608695652174
tc20_buf1,100,2021,52,0.317240667150239,0.18700699201830062,0.19999999999999993,0.5961538461538461
tc20_buf1,100,2022,50,0.0772903554773745,-0.02532497881540874,0.19999999999999996,0.54
tc20_buf1,100,2023,50,0.19643968742838513,0.08247500013457487,0.19999999999999996,0.48
tc20_buf1,100,2024,52,-0.09477291870830817,-0.18427140791045393,0.19999999999999993,0.46153846153846156
tc20_buf1,100,2025,51,0.44108446880928254,0.3012089544549732,0.19999999999999996,0.6274509803921569
tc20_buf2,0,2020,46,0.28238666423251546,0.28238666423251546,0.1956521739130434,0.5
tc20_buf2,0,2021,52,0.32037175986151456,0.32037175986151456,0.19999999999999993,0.6538461538461539
tc20_buf2,0,2022,50,0.09836347200117235,0.09836347200117235,0.19999999999999996,0.54
tc20_buf2,0,2023,50,0.19677201454849658,0.19677201454849658,0.19999999999999996,0.58
tc20_buf2,0,2024,52,-0.09280479563135435,-0.09280479563135435,0.19999999999999993,0.5576923076923077
tc20_buf2,0,2025,51,0.4064376669798546,0.4064376669798546,0.19999999999999996,0.6274509803921569
tc20_buf2,5,2020,46,0.28238666423251546,0.27662860169347137,0.1956521739130434,0.5
tc20_buf2,5,2021,52,0.32037175986151456,0.313523305695266,0.19999999999999993,0.6538461538461539
tc20_buf2,5,2022,50,0.09836347200117235,0.09288508809104656,0.19999999999999996,0.54
tc20_buf2,5,2023,50,0.19677201454849658,0.19080279150373713,0.19999999999999996,0.56
tc20_buf2,5,2024,52,-0.09280479563135435,-0.09751020131013888,0.19999999999999993,0.5384615384615384
tc20_buf2,5,2025,51,0.4064376669798546,0.39928273770456113,0.19999999999999996,0.6274509803921569
tc20_buf2,10,2020,46,0.28238666423251546,0.2708958214950039,0.1956521739130434,0.5
tc20_buf2,10,2021,52,0.32037175986151456,0.306709693206209,0.19999999999999993,0.6538461538461539
tc20_buf2,10,2022,50,0.09836347200117235,0.08743348527187744,0.19999999999999996,0.54
tc20_buf2,10,2023,50,0.19677201454849658,0.1848627490180501,0.19999999999999996,0.56
tc20_buf2,10,2024,52,-0.09280479563135435,-0.10219166812305325,0.19999999999999993,0.5384615384615384
tc20_buf2,10,2025,51,0.4064376669798546,0.39216349734645584,0.19999999999999996,0.6274509803921569
tc20_buf2,20,2020,46,0.28238666423251546,0.259505674587045,0.1956521739130434,0.5
tc20_buf2,20,2021,52,0.32037175986151456,0.29318629891103787,0.19999999999999993,0.6538461538461539
tc20_buf2,20,2022,50,0.09836347200117235,0.07661011046636501,0.19999999999999996,0.54
tc20_buf2,20,2023,50,0.19677201454849658,0.17306964737146346,0.19999999999999996,0.56
tc20_buf2,20,2024,52,-0.09280479563135435,-0.11148326222125615,0.19999999999999993,0.5384615384615384
tc20_buf2,20,2025,51,0.4064376669798546,0.37803138632128386,0.19999999999999996,0.6274509803921569
tc20_buf2,50,2020,46,0.28238666423251546,0.22593081958569838,0.1956521739130434,0.5
tc20_buf2,50,2021,52,0.32037175986151456,0.25343441513915566,0.19999999999999993,0.6538461538461539
tc20_buf2,50,2022,50,0.09836347200117235,0.04476951637354776,0.19999999999999996,0.54
tc20_buf2,50,2023,50,0.19677201454849658,0.13837627590722912,0.19999999999999996,0.52
tc20_buf2,50,2024,52,-0.09280479563135435,-0.13879581117054252,0.19999999999999993,0.5192307692307693
tc20_buf2,50,2025,51,0.4064376669798546,0.3364736131149979,0.19999999999999996,0.6274509803921569
tc20_buf2,100,2020,46,0.28238666423251546,0.1719075467395932,0.1956521739130434,0.5
tc20_buf2,100,2021,52,0.32037175986151456,0.18982851813241863,0.19999999999999993,0.6346153846153846
