scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
baseline,原始策略,,,0,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,0.0
baseline,原始策略,,,5,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,7.130562542856781,0.3994265237507908,1.285845614508194,-0.1833872056441217,0.02798989478073155
baseline,原始策略,,,10,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,6.350831646773683,0.3719746219479707,1.1907938469777593,-0.18648616948499475,0.05544179658355164
baseline,原始策略,,,20,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,5.037138520052822,0.31864445543324904,1.0059242172066052,-0.19958566885575701,0.1087719630982733
baseline,原始策略,,,50,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,2.510498836082405,0.1705497026211804,0.49099068767892906,-0.28172648557439306,0.25686671591034194
baseline,原始策略,,,100,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,0.7836095840113868,-0.04085808335434549,-0.24845281686817164,-0.5579192183377762,0.46827450188586783
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,0,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,3.438287041560428,0.23525310615803807,0.74610065901574,-0.26345431575198874,0.0
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,5,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,3.3366652972046547,0.22892931931892457,0.723169579330062,-0.2641169417732261,0.006323786839113499
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,10,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,3.2380373611506568,0.2226372790163489,0.7003503425752935,-0.26477903785265977,0.012615827141689184
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,20,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,3.0494138381268363,0.2101478138865942,0.6550452397632366,-0.2661016416694346,0.02510529227144387
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,50,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,2.546763390254999,0.17342524257533865,0.5217585079631755,-0.2700933761857053,0.06182786358269943
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,100,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,1.885838582126607,0.11463471333650666,0.30812563063605486,-0.3024981326688815,0.12061839282153142
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,3.90419739550805,0.26240192408809904,0.8399082013991811,-0.24398105405715154,0.0
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,5,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,3.7888052409714907,0.25593915088524555,0.8166151273016624,-0.24466119900517558,0.006462773202853489
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,10,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,3.6768125753179617,0.24950882195523683,0.7934356762125192,-0.24534080000045855,0.01289310213286221
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,20,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,3.4626293327847923,0.23674485906209908,0.7474154506634082,-0.24669837165533715,0.02565706502599996
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,50,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,2.8918664657783446,0.19921518643898928,0.6120251879346402,-0.2507580712990114,0.06318673764910976
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,100,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,2.1413820288098506,0.13913253871337883,0.39502190557501615,-0.2884110034689257,0.12326938537472021
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,0.0
