scenario,description,max_turnover,buffer_multiplier,cost_bps,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav,net_annual_return,net_sharpe_ratio,net_max_drawdown,annual_return_drag
baseline,Barra Top500 -> Alpha Top50,,,0,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,0.0
baseline,Barra Top500 -> Alpha Top50,,,5,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,10.800431781335556,0.5024440184185714,1.5497819157664514,-0.2659814884540789,0.027892113112782724
baseline,Barra Top500 -> Alpha Top50,,,10,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,9.699023919380616,0.47505003040553606,1.4604839739149733,-0.2688255746622289,0.05528610112581811
baseline,Barra Top500 -> Alpha Top50,,,20,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,7.820759452536316,0.42172172564887167,1.2864587643101892,-0.27448393367162593,0.1086144058824825
baseline,Barra Top500 -> Alpha Top50,,,50,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,4.096257101003918,0.2728157473531898,0.7991786945955535,-0.3192438196800088,0.25752038417816436
baseline,Barra Top500 -> Alpha Top50,,,100,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,1.3895139341127773,0.057890209575263585,0.09209979637583846,-0.47353708283762097,0.4724459219560906
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,0,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.778033771159151,0.1910045198023249,0.5372114654143472,-0.36934712932983427,0.0
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,5,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.695926421106052,0.18490726032562055,0.5169098185853612,-0.371487814898412,0.006097259476704364
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,10,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.616237979208723,0.178840610177738,0.4967069614833192,-0.3736214471438474,0.01216390962458691
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,20,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.4638357769896237,0.16679853609162887,0.4565957110511884,-0.37786764174725607,0.024205983710696044
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,50,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,2.0577091498647095,0.1313914213938958,0.3385837756749728,-0.390439275426433,0.0596130984084291
tc20_buf1,"max_turnover=20%, buffer=1x",0.2,1.0,100,301,0.19933554817275745,0.3623255813953489,0.25843546634413167,18.390626448385788,31.88372093023256,2.778033771159151,0.1910045198023249,0.5372114654143473,-0.36934712932983427,1.5237015423020013,0.07470685553775391,0.1494156539512756,-0.416827506755417,0.116297664264571
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,0,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,0.0
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,5,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.7559064760254013,0.18937621807998584,0.5367249919822649,-0.35664045707776526,0.006120255702596333
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,10,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.6744450936338455,0.18328668715136298,0.5162599081571646,-0.35869622499882536,0.012209786631219188
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,20,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.518652185946168,0.17119919556958352,0.4756280769138757,-0.3627886870593827,0.024297278212998652
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,50,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,2.103489890336961,0.13565854054756832,0.35608493404164415,-0.3749148490161124,0.05983793323501385
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,100,301,0.19933554817275745,0.36212624584717606,0.2552972972528244,19.692775250614524,30.641196013289036,2.8398405834139115,0.19549647378258217,0.5572901647728894,-0.3545783057487927,1.5576014668223739,0.07876018502313942,0.16446367471846768,-0.41109393953289386,0.11673628875944275
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.7860851932103827,0.19159434015563348,0.5498110920048105,-0.3429901944576691,0.0
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,5,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.7037398759534046,0.1854940611372906,0.5290986523937206,-0.34522034590000583,0.006100279018342869
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,10,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.623820477440301,0.17942440660640746,0.5084870288760062,-0.347443149239001,0.01216993354922602
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,20,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.470976576324535,0.16737636893218877,0.4675642855755835,-0.35186680545373594,0.024217971223444712
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,50,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,2.063672894796914,0.13195171959327445,0.3471654951415982,-0.3742142788378886,0.05964262056235903
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,100,301,0.19933554817275745,0.36073089700996674,0.25287881186563566,20.910833736727326,29.91362126245847,2.7860851932103827,0.19159434015563348,0.5498110920048106,-0.3429901944576691,1.5281176024394112,0.07523908187837458,0.1541734889069615,-0.413653822273237,0.1163552582772589
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,0,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,0.0
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,5,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.6788577937558014,0.18362046403920984,0.5207874535715775,-0.33979122614872215,0.006090637919799136
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,10,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.599673880583075,0.17756040220683733,0.5002842344651475,-0.34203245990997566,0.012150699752171645
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,20,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.448236577248702,0.16553140568108526,0.45957669847573474,-0.34649279496648266,0.024179696277923712
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,50,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,2.0446812458391164,0.1301627427215024,0.33981090238820116,-0.37074389561131094,0.059548359237506565
tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,100,301,0.19933554817275745,0.35953488372093023,0.25217743603634657,21.308149555285464,29.59468438538206,2.7604453003332807,0.18971110195900898,0.5413909514767357,-0.3375425833571697,1.514054582498151,0.07353973568205685,0.14783299749889098,-0.4104021566130297,0.11617136627695213
tc30_buf1,"max_turnover=30%, buffer=1x",0.3,1.0,0,301,0.2990033222591362,0.5082392026578073,0.252461442882609,18.40615706182121,24.588039867109636,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,3.8815402301322584,0.2611455735529402,0.7660554133156369,-0.3627101870416527,0.0
