scenario,description,max_turnover,buffer_multiplier,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav_5bp,net_annual_return_5bp,net_sharpe_ratio_5bp,net_max_drawdown_5bp,net_final_nav_10bp,net_annual_return_10bp,net_sharpe_ratio_10bp,net_max_drawdown_10bp,net_final_nav_20bp,net_annual_return_20bp,net_sharpe_ratio_20bp,net_max_drawdown_20bp,net_final_nav_50bp,net_annual_return_50bp,net_sharpe_ratio_50bp,net_max_drawdown_50bp,net_final_nav_100bp,net_annual_return_100bp,net_sharpe_ratio_100bp,net_max_drawdown_100bp,turnover_reduction_vs_baseline,gross_annual_return_diff_vs_baseline,net_annual_return_5bp_diff_vs_baseline,net_annual_return_10bp_diff_vs_baseline,net_annual_return_20bp_diff_vs_baseline,net_annual_return_50bp_diff_vs_baseline,net_annual_return_100bp_diff_vs_baseline
baseline,Barra Top500 -> Alpha Top50,,,301,0.7142857142857143,1.0,0.22661829901763944,25.5,0.0,12.026425967023508,0.5303361315313542,1.6406375413142034,-0.26312742292429525,10.800431781335556,0.5024440184185714,1.5497819157664514,-0.2659814884540789,9.699023919380616,0.47505003040553606,1.4604839739149733,-0.2688255746622289,7.820759452536316,0.42172172564887167,1.2864587643101892,-0.27448393367162593,4.096257101003918,0.2728157473531898,0.7991786945955535,-0.3192438196800088,1.3895139341127773,0.057890209575263585,0.09209979637583846,-0.47353708283762097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,301,0.5776744186046512,0.8512292358803988,0.22967862204845677,25.26518963972581,5.196013289036545,10.500190321548143,0.4952149743839489,1.5392666260070353,-0.27135946746192297,9.625739283261868,0.4731373244938102,1.4665921894001084,-0.2768046193894552,8.823887962525916,0.45137935517093974,1.3949381245137558,-0.28221064796776885,7.414444904605112,0.4088043711275262,1.2546348027090317,-0.2929064126190998,4.396116078852576,0.2882926333559248,0.8567835861155457,-0.32408244412807186,1.835828007010914,0.10952134163700711,0.26443558849217425,-0.44899238335201375,0.13661129568106312,-0.03512115714740527,-0.029306693924761262,-0.023670675234596317,-0.012917354521345459,0.015476886002735002,0.05163113206174352
tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,301,0.5776079734219268,0.8516279069767443,0.23113254657969873,24.511863698647826,5.737541528239203,10.492330268052031,0.4950234345552753,1.5410691360221196,-0.27019090717126204,9.618630023696614,0.472951133429077,1.4682975727436829,-0.2724865212765992,8.817459171340749,0.4511983988324275,1.3965475880962153,-0.27758881175149996,7.4091914138966395,0.4086335506484109,1.256055990275339,-0.28835344629103177,4.3932658251853125,0.2881496985606151,0.8576674524036845,-0.32823701668398064,1.834822731086499,0.10941737837861232,0.2645092829345572,-0.4531960546692836,0.13667774086378748,-0.03531269697607886,-0.029492884989494428,-0.023851631573108545,-0.013088175000460778,0.015333951207425311,0.05152716880334873
tc60_buf1,"max_turnover=60%, buffer=1x",0.6,1.0,301,0.5781395348837208,0.8513621262458472,0.23356570138068747,23.38284070963178,7.431893687707642,10.314371066784771,0.49065462797762116,1.5245420281490267,-0.2686654461624348,9.45473293056362,0.46862672159388774,1.4520031696787246,-0.27096585860454714,8.666519734037246,0.4469180309102716,1.3804842494573333,-0.2757617450723029,7.281192006861174,0.404440221407399,1.2404498740216128,-0.28655360469555646,4.315288837779331,0.28420916039810096,0.8433940522054941,-0.32447837569466276,1.8008026724269273,0.10587095289358417,0.25232965154890047,-0.45107451991922787,0.13614617940199347,-0.03968150355373301,-0.03381729682468371,-0.02813199949526446,-0.01728150424147268,0.01139341304491115,0.047980743318320584
tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,301,0.5777408637873754,0.8513621262458472,0.22865558273506592,25.86953986555577,4.900332225913621,10.16007433543636,0.4868158555171622,1.5117433516553498,-0.2707735590407677,9.313854834117679,0.4648597163315602,1.4394498243006075,-0.2762230894790012,8.537898915521351,0.44322153455705027,1.3681714952828459,-0.28163346510847065,7.173993263751744,0.40088105158920273,1.2286044012631319,-0.29233783034994143,4.253293064564758,0.2810338853586618,0.8328447279778379,-0.32808876533632125,1.7760056013000998,0.10325081902069377,0.2436223199497806,-0.4582151877900196,0.13654485049833887,-0.04352027601419195,-0.037584302087011245,-0.031828495848485794,-0.02084067405966894,0.008218138005471998,0.04536060944543019
tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,301,0.493156146179402,0.7556810631229235,0.23414602707335136,24.06564693985148,9.813953488372093,8.143049596010426,0.43157788028235955,1.338846710168897,-0.29328032866137044,7.560486611918538,0.4135133166418741,1.2788740345751084,-0.29851945933937696,7.0194716643779405,0.39567230921062313,1.2196229138895651,-0.30372103683738016,6.0504793895516285,0.36065014643451065,1.103251105582075,-0.31441512231551694,3.8730547962748005,0.2606734872861938,0.7705806823815792,-0.36160335105295605,1.8387276082762116,0.1098209474097731,0.2671712230287504,-0.4641226399872408,0.2211295681063123,-0.09875825124899462,-0.08893070177669737,-0.07937772119491293,-0.061071579214361016,-0.012142260066996036,0.05193073783450952
tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,301,0.4930232558139535,0.7554152823920266,0.23292671179545102,24.76904734371698,9.44186046511628,8.13172402821105,0.43123705585354544,1.336613838378769,-0.29484158532652227,7.550122323731696,0.41318162932286406,1.2767252338516044,-0.30005513995017985,7.009989321354686,0.3953495859051839,1.2175565938393527,-0.3052314253337848,6.042548053110855,0.3603448431461418,1.1013450708805312,-0.3158749106328482,3.8684434442364655,0.2604165755083281,0.7691197495239787,-0.36425482866503367,1.8369082680552502,0.10963300709147794,0.26634325676028864,-0.46624895595937144,0.2212624584717608,-0.09909907567780873,-0.08926238909570738,-0.07970044450035219,-0.06137688250272988,-0.012399171844861723,0.051742797516214356
tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,301,0.4930897009966778,0.7562126245847175,0.2359173246932785,23.13204572054158,10.461794019933555,8.033512728977154,0.42826492913853165,1.3264255179629483,-0.288257791598595,7.458860742835478,0.41024458362792315,1.266660396326864,-0.2935341558913911,6.925187263822478,0.3924472172284299,1.207614191356007,-0.29877270012009205,5.969329896569718,0.3575106345860457,1.091644430042473,-0.3095427866533067,3.8213391507156773,0.2577776127068261,0.7601201476252119,-0.3652567205819165,1.8143584422531833,0.10729067708408113,0.25843524496436876,-0.4671893196472299,0.22119601328903649,-0.10207120239282252,-0.0921994347906483,-0.08260281317710616,-0.06421109106282596,-0.015038134646363721,0.04940046750881755
tc50_buf1,"max_turnover=50%, buffer=1x",0.5,1.0,301,0.49282392026578076,0.7549501661129568,0.23895558079285065,21.70097128977085,12.252491694352159,7.745221498396552,0.4193630481128068,1.2934832190559664,-0.28343899334207245,7.191479220314823,0.40146460919957083,1.234270451553927,-0.285392779274524,6.677203827289848,0.38378752097034186,1.1757693889941148,-0.28868035122401425,5.756035629688609,0.3490866940169839,1.0608686473718925,-0.2991550601194737,3.685682890636141,0.2500240095685584,0.7323877578449804,-0.36619299579374087,1.7506531889098198,0.10054046565329866,0.2352701726136902,-0.4679752396384843,0.22146179401993354,-0.11097308341854739,-0.10097940921900062,-0.0912625094351942,-0.07263503163188778,-0.022791737784631394,0.042650256078035076
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,301,0.39847176079734214,0.6398671096345516,0.24006236620485027,22.454199735740655,15.687707641196013,6.0318573230667205,0.3599327956326823,1.0956102967581247,-0.3307405830494202,5.680725661272505,0.34605050555108696,1.0496859680047428,-0.3358081801314834,5.349970211211119,0.33230719317189905,1.0042079149144572,-0.34083840796244214,4.744941080094318,0.3052320588439683,0.9145734906749414,-0.3549986125876945,3.309359717703985,0.22720294131789642,0.6559422583410195,-0.40686589486421565,1.813485684919332,0.10719953666805515,0.2572087564462788,-0.4845711825247515,0.31581395348837216,-0.17040333589867185,-0.15639351286748449,-0.142742837233637,-0.11648966680490336,-0.045612806035293385,0.049309327092791566
