signal_date,apply_year,factor_data_date,num_factors,used_factors,pool_size,min_required_factors
2020-01-03,2020,2020-01-03,51,49,500,11
2020-01-10,2020,2020-01-10,51,49,500,11
2020-01-17,2020,2020-01-17,51,49,500,11
2020-01-23,2020,2020-01-23,51,49,500,11
2020-02-07,2020,2020-02-07,51,49,500,11
2020-02-14,2020,2020-02-14,51,49,500,11
2020-02-21,2020,2020-02-21,51,49,500,11
2020-02-28,2020,2020-02-28,51,49,500,11
2020-03-06,2020,2020-03-06,51,49,500,11
2020-03-13,2020,2020-03-13,51,49,500,11
2020-03-20,2020,2020-03-20,51,49,500,11
2020-03-27,2020,2020-03-27,51,49,500,11
2020-04-03,2020,2020-04-03,51,49,500,11
2020-04-10,2020,2020-04-10,51,49,500,11
2020-04-17,2020,2020-04-17,51,49,500,11
2020-04-24,2020,2020-04-24,51,49,500,11
2020-04-30,2020,2020-04-30,51,49,500,11
2020-05-08,2020,2020-05-08,51,49,500,11
2020-05-15,2020,2020-05-15,51,49,500,11
2020-05-22,2020,2020-05-22,51,49,500,11
2020-05-29,2020,2020-05-29,51,49,500,11
2020-06-05,2020,2020-06-05,51,49,500,11
2020-06-12,2020,2020-06-12,51,49,500,11
2020-06-19,2020,2020-06-19,51,49,500,11
2020-06-24,2020,2020-06-24,51,49,500,11
2020-07-03,2020,2020-07-03,51,50,500,11
2020-07-10,2020,2020-07-10,51,50,500,11
2020-07-17,2020,2020-07-17,51,50,500,11
2020-07-24,2020,2020-07-24,51,50,500,11
2020-07-31,2020,2020-07-31,51,50,500,11
2020-08-07,2020,2020-08-07,51,50,500,11
2020-08-14,2020,2020-08-14,51,50,500,11
2020-08-21,2020,2020-08-21,51,50,500,11
2020-08-28,2020,2020-08-28,51,50,500,11
2020-09-04,2020,2020-09-04,51,50,500,11
2020-09-11,2020,2020-09-11,51,50,500,11
2020-09-18,2020,2020-09-18,51,50,500,11
2020-09-25,2020,2020-09-25,51,50,500,11
2020-09-30,2020,2020-09-30,51,50,500,11
2020-10-09,2020,2020-10-09,51,50,500,11
2020-10-16,2020,2020-10-16,51,50,500,11
2020-10-23,2020,2020-10-23,51,50,500,11
2020-10-30,2020,2020-10-30,51,50,500,11
2020-11-06,2020,2020-11-06,51,50,500,11
2020-11-13,2020,2020-11-13,51,50,500,11
2020-11-20,2020,2020-11-20,51,50,500,11
2020-11-27,2020,2020-11-27,51,50,500,11
2020-12-04,2020,2020-12-04,51,50,500,11
2020-12-11,2020,2020-12-11,51,50,500,11
2020-12-18,2020,2020-12-18,51,50,500,11
2020-12-25,2020,2020-12-25,51,50,500,11
2020-12-31,2020,2020-12-31,51,50,500,11
