signal_date,apply_year,factor_data_date,num_factors,used_factors,pool_size,min_required_factors,pre_market_filter_count,post_market_filter_count,market_filter_date,float_cap_threshold,amount_threshold
2020-01-03,2020,2020-01-03,51,49,500,11,1805,1150,2020-01-03,3297704000.0000005,44894280.0
2020-01-10,2020,2020-01-10,51,49,500,11,1805,1150,2020-01-10,3375824000.0,38544740.0
2020-01-17,2020,2020-01-17,51,49,500,11,1805,1149,2020-01-17,3379484000.0,31056000.0
2020-01-23,2020,2020-01-23,51,49,500,11,1805,1149,2020-01-23,3224410000.0,47288940.0
2020-02-07,2020,2020-02-07,51,49,500,11,1799,1149,2020-02-07,3154112000.0,50994320.0
2020-02-14,2020,2020-02-14,51,49,500,11,1799,1149,2020-02-14,3233904000.0,37799500.0
2020-02-21,2020,2020-02-21,51,49,500,11,1799,1149,2020-02-21,3498966000.0,71532020.0
2020-02-28,2020,2020-02-28,51,49,500,11,1799,1149,2020-02-28,3314876000.0,80451139.99999999
2020-03-06,2020,2020-03-06,51,49,500,11,1799,1149,2020-03-06,3629312000.0,76442280.0
2020-03-13,2020,2020-03-13,51,49,500,11,1799,1149,2020-03-13,3435416000.0,70071280.0
2020-03-20,2020,2020-03-20,51,49,500,11,1799,1149,2020-03-20,3281142000.0000005,39259440.0
2020-03-27,2020,2020-03-27,51,49,500,11,1799,1149,2020-03-27,3256050000.0000005,39047880.0
2020-04-03,2020,2020-04-03,51,49,500,11,1799,1149,2020-04-03,3218960000.0,30140040.0
2020-04-10,2020,2020-04-10,51,49,500,11,1799,1149,2020-04-10,3314260000.0,41815400.0
2020-04-17,2020,2020-04-17,51,49,500,11,1799,1149,2020-04-17,3314780000.0,39419400.0
2020-04-24,2020,2020-04-24,51,49,500,11,1799,1147,2020-04-24,3288282000.0,39797100.0
2020-04-30,2020,2020-04-30,51,49,500,11,1799,1143,2020-04-30,3273830000.0,41117280.0
2020-05-08,2020,2020-05-08,51,49,500,11,1799,1137,2020-05-08,3354536000.0,38629400.0
2020-05-15,2020,2020-05-15,51,49,500,11,1799,1137,2020-05-15,3359304000.0,31951200.0
2020-05-22,2020,2020-05-22,51,49,500,11,1799,1137,2020-05-22,3256012000.0,35114000.0
2020-05-29,2020,2020-05-29,51,49,500,11,1799,1137,2020-05-29,3343904000.0,29786100.0
2020-06-05,2020,2020-06-05,51,49,500,11,1799,1137,2020-06-05,3454940000.0,36546100.0
2020-06-12,2020,2020-06-12,51,49,500,11,1799,1137,2020-06-12,3426210000.0,39947200.0
2020-06-19,2020,2020-06-19,51,49,500,11,1799,1134,2020-06-19,3483742000.0,42974500.0
2020-06-24,2020,2020-06-24,51,49,500,11,1799,1133,2020-06-24,3459272000.0,34388420.0
2020-07-03,2020,2020-07-03,51,50,500,11,1799,1129,2020-07-03,3608366000.0,78559680.0
2020-07-10,2020,2020-07-10,51,50,500,11,1799,1129,2020-07-10,3944390000.0,126174400.0
2020-07-17,2020,2020-07-17,51,50,500,11,1799,1129,2020-07-17,3809802000.0,75456000.0
2020-07-24,2020,2020-07-24,51,50,500,11,1799,1129,2020-07-24,3852060000.0,101170600.0
2020-07-31,2020,2020-07-31,51,50,500,11,1799,1129,2020-07-31,4023348000.0,76077600.0
2020-08-07,2020,2020-08-07,51,50,500,11,1972,1259,2020-08-07,4006788000.0,83606740.0
2020-08-14,2020,2020-08-14,51,50,500,11,1972,1259,2020-08-14,4004956000.0,60182000.0
2020-08-21,2020,2020-08-21,51,50,500,11,1972,1259,2020-08-21,4026112000.0,57556820.0
2020-08-28,2020,2020-08-28,51,50,500,11,1972,1258,2020-08-28,4103110000.0,64778700.00000001
2020-09-04,2020,2020-09-04,51,50,500,11,1972,1258,2020-09-04,4112890000.0,55173120.0
2020-09-11,2020,2020-09-11,51,50,500,11,1972,1258,2020-09-11,3905436000.0,44266040.0
